"id","experience","job_type","location","min_salary","max_salary","company_name_encoded","key_skills","key_skills_id"
73,"9-12 yrs","analytics","Bengaluru",15,25,2723,"analytics",1
73,"9-12 yrs","analytics","Bengaluru",15,25,2723,"python",16
77,"7-12 yrs","Analytics","Delhi NCR, Gurgaon",25,50,1988,"team leading",20
80,"3-7 yrs","Analytics","Noida",3,6,4877,"data science",5
80,"3-7 yrs","Analytics","Noida",3,6,4877,"analytics",1
80,"3-7 yrs","Analytics","Noida",3,6,4877,"machine learning",9
84,"1-3 yrs",NA,"Delhi NCR, Gurgaon",10,15,1168,"sql",19
84,"1-3 yrs",NA,"Delhi NCR, Gurgaon",10,15,1168,"r",17
84,"1-3 yrs",NA,"Delhi NCR, Gurgaon",10,15,1168,"python",16
90,"5-8 yrs",NA,"Pune",6,10,910,"sql",19
91,"1-3 yrs",NA,"Bengaluru",6,10,4093,"hadoop",8
91,"1-3 yrs",NA,"Bengaluru",6,10,4093,"big data",2
91,"1-3 yrs",NA,"Bengaluru",6,10,4093,"machine learning",9
91,"1-3 yrs",NA,"Bengaluru",6,10,4093,"python",16
94,"8-12 yrs","Analytics","Bengaluru",6,10,3001,"r",17
94,"8-12 yrs","Analytics","Bengaluru",6,10,3001,"python",16
94,"8-12 yrs","Analytics","Bengaluru",6,10,3001,"big data",2
94,"8-12 yrs","Analytics","Bengaluru",6,10,3001,"analytics",1
95,"11-15 yrs","Analytics","Delhi NCR, Bengaluru, Hyderabad",25,50,3612,"machine learning",9
95,"11-15 yrs","Analytics","Delhi NCR, Bengaluru, Hyderabad",25,50,3612,"analytics",1
98,"6-9 yrs","Analytics","Bengaluru",10,15,884,"analytics",1
98,"6-9 yrs","Analytics","Bengaluru",10,15,884,"python",16
99,"10-12 yrs","Analytics","Mumbai",10,15,191,"analytics",1
110,"8-12 yrs",NA,"Bengaluru, Gurgaon",10,15,1969,"big data",2
115,"5-8 yrs",NA,"Chennai",15,25,1710,"sql",19
121,"2-4 yrs","Analytic","Noida(Sector-1 Noida)",6,10,2748,"sql",19
123,"2-7 yrs",NA,"Delhi NCR, Noida",15,25,1459,"python",16
125,"2-5 yrs","Analytics","Bengaluru",6,10,190,"python",16
125,"2-5 yrs","Analytics","Bengaluru",6,10,190,"machine learning",9
126,"8-13 yrs",NA,"Bengaluru",15,25,1974,"natural language processing",14
126,"8-13 yrs",NA,"Bengaluru",15,25,1974,"machine learning",9
126,"8-13 yrs",NA,"Bengaluru",15,25,1974,"python",16
133,"4-7 yrs","Analytics","Mumbai",15,25,3362,"predictive analytics",15
133,"4-7 yrs","Analytics","Mumbai",15,25,3362,"sql",19
136,"6-10 yrs","Analytics","Delhi NCR",15,25,1988,"r",17
144,"1-3 yrs","Analytics","Bengaluru",3,6,190,"sql",19
150,"5-8 yrs","Analytics","Bengaluru(Whitefield)",15,25,2816,"r",17
152,"1-3 yrs",NA,"Mumbai",3,6,2701,"r",17
153,"4-6 yrs",NA,"Bengaluru",0,3,2031,"hadoop",8
153,"4-6 yrs",NA,"Bengaluru",0,3,2031,"big data",2
166,"1-4 yrs",NA,"Delhi NCR",10,15,3275,"marketing automation",11
172,"5-10 yrs",NA,"Chennai",15,25,3594,"hadoop",8
172,"5-10 yrs",NA,"Chennai",15,25,3594,"data science",5
172,"5-10 yrs",NA,"Chennai",15,25,3594,"machine learning",9
172,"5-10 yrs",NA,"Chennai",15,25,3594,"r",17
172,"5-10 yrs",NA,"Chennai",15,25,3594,"python",16
172,"5-10 yrs",NA,"Chennai",15,25,3594,"big data",2
173,"5-7 yrs","Analytics","Bengaluru",10,15,1969,"machine learning",9
173,"5-7 yrs","Analytics","Bengaluru",10,15,1969,"r",17
173,"5-7 yrs","Analytics","Bengaluru",10,15,1969,"python",16
176,"1-3 yrs","analytics","Gurgaon",10,15,1769,"data science",5
186,"4-9 yrs","Analytics","Gurgaon",10,15,1989,"r",17
186,"4-9 yrs","Analytics","Gurgaon",10,15,1989,"machine learning",9
186,"4-9 yrs","Analytics","Gurgaon",10,15,1989,"sql",19
187,"7-12 yrs","Analytics","Hyderabad",6,10,4370,"sql",19
187,"7-12 yrs","Analytics","Hyderabad",6,10,4370,"analytics",1
188,"5-10 yrs","analytics","Delhi NCR, Bengaluru, Hyderabad",15,25,3612,"machine learning",9
188,"5-10 yrs","analytics","Delhi NCR, Bengaluru, Hyderabad",15,25,3612,"analytics",1
189,"7-12 yrs","Analytics","Delhi NCR, Bengaluru",25,50,1969,"r",17
194,"3-7 yrs","Analytics","Bengaluru",6,10,4716,"r",17
194,"3-7 yrs","Analytics","Bengaluru",6,10,4716,"machine learning",9
194,"3-7 yrs","Analytics","Bengaluru",6,10,4716,"python",16
198,"12-15 yrs","Analytics","Pune",10,15,2841,"python",16
198,"12-15 yrs","Analytics","Pune",10,15,2841,"analytics",1
200,"2-6 yrs",NA,"Gurgaon",10,15,4061,"natural language processing",14
200,"2-6 yrs",NA,"Gurgaon",10,15,4061,"machine learning",9
218,"2-6 yrs","Analytics","Gurgaon",15,25,1993,"big data analytics",3
222,"4-8 yrs",NA,"Noida",0,3,3706,"big data",2
235,"2-5 yrs",NA,"Bengaluru",6,10,190,"python",16
235,"2-5 yrs",NA,"Bengaluru",6,10,190,"machine learning",9
239,"12-16 yrs",NA,"Pune",15,25,1076,"python",16
246,"7-12 yrs","Analytics","Delhi NCR",25,50,1988,"fraud analytics",7
246,"7-12 yrs","Analytics","Delhi NCR",25,50,1988,"team leading",20
249,"8-12 yrs","Analytics","Gurgaon",25,50,4470,"predictive analytics",15
251,"6-11 yrs","Analytics","Noida",15,25,1210,"data science",5
251,"6-11 yrs","Analytics","Noida",15,25,1210,"analytics",1
251,"6-11 yrs","Analytics","Noida",15,25,1210,"machine learning",9
252,"5-10 yrs",NA,"EU, Ukraine",10,15,3713,"hadoop",8
252,"5-10 yrs",NA,"EU, Ukraine",10,15,3713,"sql",19
261,"7-12 yrs","Analytics","Delhi NCR, Bengaluru",25,50,1969,"r",17
269,"6-9 yrs",NA,"Bengaluru",6,10,1173,"sql",19
270,"9-14 yrs","analytics","Delhi NCR, Gurgaon",15,25,1969,"analytics",1
282,"6-9 yrs","Analytics","Mumbai",6,10,116,"r",17
286,"17-23 yrs","Analytics","Bengaluru",25,50,2972,"machine learning",9
286,"17-23 yrs","Analytics","Bengaluru",25,50,2972,"predictive analytics",15
286,"17-23 yrs","Analytics","Bengaluru",25,50,2972,"python",16
291,"2-5 yrs",NA,"Bengaluru",10,15,3319,"hadoop",8
291,"2-5 yrs",NA,"Bengaluru",10,15,3319,"python",16
294,"7-12 yrs","Analytics","Anywherein India",10,15,4125,"big data analytics",3
297,"8-12 yrs","Analytics","Pune",25,50,4904,"analytics",1
299,"2-4 yrs","Analytics","Kolkata",0,3,3325,"sql",19
301,"3-6 yrs","Analytics","Bengaluru",3,6,1173,"analytics",1
301,"3-6 yrs","Analytics","Bengaluru",3,6,1173,"hadoop",8
312,"4-9 yrs",NA,"Mumbai, Pune",3,6,695,"hadoop",8
312,"4-9 yrs",NA,"Mumbai, Pune",3,6,695,"big data",2
315,"5-10 yrs",NA,"Pune",10,15,2793,"data science",5
315,"5-10 yrs",NA,"Pune",10,15,2793,"big data",2
318,"3-6 yrs","Analytics","Pune",15,25,3692,"predictive analytics",15
318,"3-6 yrs","Analytics","Pune",15,25,3692,"r",17
324,"1-5 yrs","Analytics","Bengaluru",3,6,190,"analytics",1
325,"2-4 yrs","analytics","Gurgaon, Gurugram",6,10,1483,"sql",19
325,"2-4 yrs","analytics","Gurgaon, Gurugram",6,10,1483,"r",17
325,"2-4 yrs","analytics","Gurgaon, Gurugram",6,10,1483,"python",16
325,"2-4 yrs","analytics","Gurgaon, Gurugram",6,10,1483,"analytics",1
331,"15-20 yrs","Analytics","Delhi NCR, Noida",25,50,2058,"hadoop",8
331,"15-20 yrs","Analytics","Delhi NCR, Noida",25,50,2058,"data science",5
333,"3-8 yrs","analytics","Hyderabad",15,25,4777,"r",17
334,"3-8 yrs",NA,"Bengaluru",6,10,2637,"hadoop",8
336,"5-10 yrs",NA,"Bengaluru",10,15,3204,"data science",5
336,"5-10 yrs",NA,"Bengaluru",10,15,3204,"hadoop",8
336,"5-10 yrs",NA,"Bengaluru",10,15,3204,"machine learning",9
336,"5-10 yrs",NA,"Bengaluru",10,15,3204,"python",16
341,"1-2 yrs","Analytics","Delhi NCR, Mumbai",10,15,1713,"model development",13
341,"1-2 yrs","Analytics","Delhi NCR, Mumbai",10,15,1713,"analytics",1
344,"7-12 yrs","Analytics","Delhi NCR, Gurgaon",25,50,1988,"analytics",1
345,"5-10 yrs","Analytics","Gurgaon",15,25,1970,"r",17
345,"5-10 yrs","Analytics","Gurgaon",15,25,1970,"machine learning",9
345,"5-10 yrs","Analytics","Gurgaon",15,25,1970,"python",16
350,"4-8 yrs","Analytics","Gurgaon",10,15,1970,"machine learning",9
350,"4-8 yrs","Analytics","Gurgaon",10,15,1970,"r",17
362,"1-6 yrs","Analytics","Bengaluru",3,6,190,"analytics",1
363,"12-18 yrs",NA,"Bengaluru",15,25,749,"machine learning",9
371,"2-4 yrs","analytics","Bengaluru, Gurgaon",6,10,1969,"sql",19
377,"3-6 yrs","Analytics","Bengaluru",6,10,190,"analytics",1
378,"3-8 yrs","Analytics","Gurgaon",3,6,3177,"analytics",1
379,"3-6 yrs","Analytics","Bengaluru",10,15,1969,"analytics",1
379,"3-6 yrs","Analytics","Bengaluru",10,15,1969,"r",17
383,"2-5 yrs",NA,"Bengaluru",3,6,190,"python",16
383,"2-5 yrs",NA,"Bengaluru",3,6,190,"machine learning",9
389,"6-11 yrs",NA,"Hyderabad",15,25,4272,"team leading",20
408,"10-15 yrs",NA,"Pune",15,25,2809,"hadoop",8
410,"2-4 yrs",NA,"Delhi NCR, Noida",10,15,2016,"sql",19
413,"5-7 yrs","Analytics","Hyderabad",10,15,1684,"python",16
415,"3-7 yrs",NA,"Hyderabad",15,25,1452,"python",16
417,"4-8 yrs","Analytics","Gurgaon, Gurugram",6,10,1989,"r",17
417,"4-8 yrs","Analytics","Gurgaon, Gurugram",6,10,1989,"predictive analytics",15
418,"7-12 yrs",NA,"Bengaluru, Singapore",25,50,4372,"sql",19
422,"3-8 yrs",NA,"Pune(Kharadi)",6,10,323,"data science",5
422,"3-8 yrs",NA,"Pune(Kharadi)",6,10,323,"machine learning",9
422,"3-8 yrs",NA,"Pune(Kharadi)",6,10,323,"r",17
422,"3-8 yrs",NA,"Pune(Kharadi)",6,10,323,"python",16
423,"6-10 yrs",NA,"Bengaluru",10,15,4051,"data science",5
423,"6-10 yrs",NA,"Bengaluru",10,15,4051,"sql",19
425,"9-14 yrs","Analytics","Bengaluru",25,50,4185,"python",16
426,"0-4 yrs",NA,"Delhi NCR, Gurgaon",10,15,1969,"r",17
426,"0-4 yrs",NA,"Delhi NCR, Gurgaon",10,15,1969,"matlab",12
427,"8-13 yrs",NA,"Gurgaon",25,50,2744,"big data",2
427,"8-13 yrs",NA,"Gurgaon",25,50,2744,"python",16
434,"4-6 yrs","Analytics","Mumbai",6,10,1054,"sql",19
436,"2-5 yrs","Analytics","Mumbai",15,25,2113,"r",17
436,"2-5 yrs","Analytics","Mumbai",15,25,2113,"machine learning",9
440,"6-10 yrs","Analytics","Noida",10,15,1969,"analytics",1
442,"5-10 yrs","Analytics","Gurgaon, Noida, Gurugram",15,25,2906,"sql",19
457,"5-10 yrs","Analytics","Bengaluru",6,10,57,"analytics",1
461,"5-10 yrs","analytics","Bengaluru",15,25,3133,"data science",5
462,"10-18 yrs","Analytics","Gurgaon, Gurugram",25,50,15,"r",17
462,"10-18 yrs","Analytics","Gurgaon, Gurugram",25,50,15,"predictive analytics",15
464,"2-5 yrs","Analytics","Hyderabad",10,15,3561,"sql",19
466,"0-5 yrs",NA,"Gurgaon",3,6,498,"sql",19
467,"5-8 yrs","analytics","Gurgaon",15,25,2914,"machine learning",9
467,"5-8 yrs","analytics","Gurgaon",15,25,2914,"python",16
467,"5-8 yrs","analytics","Gurgaon",15,25,2914,"sql",19
467,"5-8 yrs","analytics","Gurgaon",15,25,2914,"r",17
481,"1-2 yrs","Analytics","Delhi NCR, Gurgaon",10,15,2574,"r",17
481,"1-2 yrs","Analytics","Delhi NCR, Gurgaon",10,15,2574,"analytics",1
486,"7-8 yrs","Analytics","Bengaluru",6,10,3325,"r",17
491,"1-6 yrs",NA,"Mumbai",15,25,2508,"machine learning",9
494,"0-5 yrs",NA,"Delhi NCR(Vaishali)",0,3,3039,"regression testing",18
499,"12-20 yrs",NA,"Bengaluru",15,25,4370,"big data",2
500,"3-6 yrs","Analytics","Bengaluru",3,6,1526,"analytics",1
506,"2-4 yrs",NA,"Mumbai",10,15,1054,"machine learning",9
510,"3-7 yrs","Analytics","Gurgaon, Pune",6,10,3750,"python",16
510,"3-7 yrs","Analytics","Gurgaon, Pune",6,10,3750,"machine learning",9
524,"5-10 yrs","Analytics","Chennai",6,10,2471,"sql",19
524,"5-10 yrs","Analytics","Chennai",6,10,2471,"r",17
543,"9-12 yrs",NA,"Gurgaon",15,25,1682,"python",16
549,"6-11 yrs","Analytics","Delhi NCR, Ghaziabad",15,25,3536,"analytics",1
550,"6-9 yrs",NA,"Bengaluru",6,10,764,"sql",19
554,"3-5 yrs","analytics","Delhi NCR",6,10,1969,"big data",2
554,"3-5 yrs","analytics","Delhi NCR",6,10,1969,"hadoop",8
554,"3-5 yrs","analytics","Delhi NCR",6,10,1969,"analytics",1
567,"7-12 yrs",NA,"Mumbai",25,50,911,"model development",13
571,"10-15 yrs","Analytics","Mumbai",25,50,153,"big data",2
574,"3-6 yrs","Analytics","Bengaluru",3,6,190,"analytics",1
575,"7-12 yrs","Analytics","Gurgaon",6,10,1300,"sql",19
575,"7-12 yrs","Analytics","Gurgaon",6,10,1300,"r",17
575,"7-12 yrs","Analytics","Gurgaon",6,10,1300,"analytics",1
576,"3-7 yrs","analytics","Mumbai",3,6,2940,"analytics",1
578,"5-10 yrs",NA,"Bengaluru, Chennai, Delhi, Kolkata, Mumbai, Pune",10,15,16,"sql",19
584,"1-3 yrs","Analytics","Delhi",0,3,1221,"python",16
587,"2-5 yrs","Analytics","Bengaluru",3,6,190,"sql",19
587,"2-5 yrs","Analytics","Bengaluru",3,6,190,"python",16
595,"3-6 yrs",NA,"Kolkata",6,10,3323,"sql",19
597,"3-8 yrs","ANALYTICS","Delhi NCR",10,15,2448,"hadoop",8
602,"3-8 yrs","Analytics","Hyderabad",6,10,3396,"data science",5
602,"3-8 yrs","Analytics","Hyderabad",6,10,3396,"python",16
602,"3-8 yrs","Analytics","Hyderabad",6,10,3396,"r",17
606,"2-6 yrs",NA,"Hyderabad",15,25,406,"machine learning",9
609,"7-12 yrs","Analytics","Hyderabad",10,15,3848,"analytics",1
617,"7-10 yrs",NA,"Gurgaon",10,15,1988,"team leading",20
629,"2-6 yrs","Analytics","Gurgaon, Gurugram",10,15,973,"machine learning",9
629,"2-6 yrs","Analytics","Gurgaon, Gurugram",10,15,973,"python",16
629,"2-6 yrs","Analytics","Gurgaon, Gurugram",10,15,973,"r",17
633,"13-15 yrs","Analytics","Delhi NCR",25,50,1988,"fraud analytics",7
633,"13-15 yrs","Analytics","Delhi NCR",25,50,1988,"team leading",20
637,"7-12 yrs","Analytics","Gurgaon, Gurugram",25,50,1988,"analytics",1
638,"8-12 yrs","Analytics","Bengaluru",25,50,1988,"analytics",1
638,"8-12 yrs","Analytics","Bengaluru",25,50,1988,"team leading",20
639,"5-9 yrs","Analytics","Mumbai",15,25,4448,"python",16
639,"5-9 yrs","Analytics","Mumbai",15,25,4448,"r",17
639,"5-9 yrs","Analytics","Mumbai",15,25,4448,"sql",19
639,"5-9 yrs","Analytics","Mumbai",15,25,4448,"machine learning",9
642,"13-15 yrs","Analytics","Gurgaon",25,50,4470,"predictive analytics",15
643,"4-6 yrs","Analytics","Gurgaon",3,6,1305,"analytics",1
649,"5-10 yrs",NA,"Delhi NCR, Delhi, Noida",10,15,2906,"model development",13
652,"3-8 yrs","Analytics","Hyderabad",3,6,4566,"data science",5
652,"3-8 yrs","Analytics","Hyderabad",3,6,4566,"predictive analytics",15
652,"3-8 yrs","Analytics","Hyderabad",3,6,4566,"sql",19
655,"2-6 yrs","Analytics","Pune",3,6,190,"analytics",1
656,"3-8 yrs",NA,"Delhi NCR, Gurgaon, Noida",15,25,2993,"r",17
656,"3-8 yrs",NA,"Delhi NCR, Gurgaon, Noida",15,25,2993,"machine learning",9
660,"8-13 yrs",NA,"Bengaluru",10,15,3657,"hadoop",8
660,"8-13 yrs",NA,"Bengaluru",10,15,3657,"big data",2
661,"4-8 yrs",NA,"Indore",3,6,4795,"marketing automation",11
662,"3-8 yrs",NA,"Bengaluru",10,15,1918,"hadoop",8
662,"3-8 yrs",NA,"Bengaluru",10,15,1918,"sql",19
662,"3-8 yrs",NA,"Bengaluru",10,15,1918,"big data",2
663,"2-4 yrs",NA,"Hyderabad(Madhapur)",3,6,2598,"python",16
668,"1-5 yrs",NA,"Bengaluru",6,10,190,"sql",19
668,"1-5 yrs",NA,"Bengaluru",6,10,190,"python",16
669,"3-5 yrs","Analytics","Pune",3,6,3664,"analytics",1
670,"1-6 yrs",NA,"Pune",0,3,3689,"big data",2
670,"1-6 yrs",NA,"Pune",0,3,3689,"hadoop",8
670,"1-6 yrs",NA,"Pune",0,3,3689,"python",16
672,"3-7 yrs",NA,"Bengaluru",10,15,4049,"sql",19
683,"6-11 yrs",NA,"Hyderabad",25,50,4272,"team leading",20
687,"4-7 yrs",NA,"Bengaluru",15,25,4097,"data science",5
689,"2-4 yrs",NA,"Hyderabad",0,3,4008,"natural language processing",14
689,"2-4 yrs",NA,"Hyderabad",0,3,4008,"machine learning",9
691,"1-3 yrs","analytics","Mumbai(Powai)",10,15,2300,"sql",19
693,"8-13 yrs",NA,"Hyderabad",25,50,4272,"sql",19
699,"5-8 yrs","Analytics","Bengaluru",3,6,3810,"sql",19
699,"5-8 yrs","Analytics","Bengaluru",3,6,3810,"r",17
701,"6-11 yrs","Analytics","Delhi NCR",15,25,1969,"analytics",1
704,"4-9 yrs","Analytics","Mumbai",15,25,1610,"analytics",1
712,"10-15 yrs","analytics","Mumbai",15,25,153,"analytics",1
713,"7-10 yrs","Analytics","Gurgaon, Gurugram",25,50,1988,"analytics",1
713,"7-10 yrs","Analytics","Gurgaon, Gurugram",25,50,1988,"machine learning",9
717,"0-3 yrs","analytics","Chennai(Alwarpet)",3,6,2153,"big data analytics",3
718,"4-9 yrs",NA,"Bengaluru",6,10,646,"machine learning",9
721,"2-5 yrs",NA,"Pune(Kharadi)",6,10,1180,"sql",19
725,"4-8 yrs","Analytics","Gurgaon",10,15,4822,"analytics",1
727,"4-9 yrs","Analytics","Mumbai",10,15,5018,"marketing automation",11
731,"7-10 yrs","analytics","Hyderabad",10,15,4008,"r",17
731,"7-10 yrs","analytics","Hyderabad",10,15,4008,"python",16
731,"7-10 yrs","analytics","Hyderabad",10,15,4008,"analytics",1
731,"7-10 yrs","analytics","Hyderabad",10,15,4008,"sql",19
743,"4-9 yrs",NA,"India",10,15,935,"hadoop",8
743,"4-9 yrs",NA,"India",10,15,935,"regression testing",18
751,"0-0 yrs",NA,"Chennai",0,3,2128,"python",16
753,"4-8 yrs","analytics","Delhi NCR(Sector-24 Gurgaon), Bengaluru, Hyderabad",15,25,699,"r",17
753,"4-8 yrs","analytics","Delhi NCR(Sector-24 Gurgaon), Bengaluru, Hyderabad",15,25,699,"python",16
753,"4-8 yrs","analytics","Delhi NCR(Sector-24 Gurgaon), Bengaluru, Hyderabad",15,25,699,"machine learning",9
754,"4-5 yrs",NA,"Gurgaon",3,6,671,"r",17
754,"4-5 yrs",NA,"Gurgaon",3,6,671,"matlab",12
756,"3-8 yrs",NA,"Hyderabad",3,6,975,"sql",19
759,"8-11 yrs","Analytics","Gurgaon, Gurugram",15,25,4030,"analytics",1
763,"4-8 yrs","analytics","Bengaluru",6,10,188,"analytics",1
767,"1-5 yrs",NA,"Bengaluru",3,6,1526,"sql",19
774,"7-12 yrs",NA,"Bengaluru",15,25,4054,"python",16
776,"1-5 yrs",NA,"India",6,10,1616,"sql",19
782,"7-10 yrs","Analytics","Delhi NCR, Gurgaon",25,50,1988,"analytics",1
792,"2-7 yrs","Analytics","Noida",3,6,1908,"sql",19
795,"8-10 yrs","analytics","Mumbai",10,15,4301,"r",17
795,"8-10 yrs","analytics","Mumbai",10,15,4301,"big data analytics",3
799,"6-8 yrs",NA,"Gurgaon",10,15,909,"sql",19
802,"8-10 yrs","Analytics","Gurgaon",25,50,3919,"r",17
802,"8-10 yrs","Analytics","Gurgaon",25,50,3919,"machine learning",9
803,"8-13 yrs","Analytics","Gurgaon",10,15,397,"predictive analytics",15
803,"8-13 yrs","Analytics","Gurgaon",10,15,397,"data science",5
803,"8-13 yrs","Analytics","Gurgaon",10,15,397,"r",17
803,"8-13 yrs","Analytics","Gurgaon",10,15,397,"machine learning",9
811,"7-10 yrs",NA,"Bengaluru",10,15,3676,"sql",19
818,"2-5 yrs","analytics","Bengaluru",10,15,2320,"r",17
818,"2-5 yrs","analytics","Bengaluru",10,15,2320,"analytics",1
820,"4-9 yrs",NA,"Hyderabad",10,15,853,"machine learning",9
832,"3-8 yrs",NA,"Bengaluru",10,15,3676,"machine learning",9
833,"7-12 yrs","Analytics","Gurgaon",15,25,4408,"analytics",1
838,"0-2 yrs",NA,"Thane",3,6,4548,"python",16
838,"0-2 yrs",NA,"Thane",3,6,4548,"r",17
842,"1-5 yrs",NA,"Pune",6,10,1993,"sql",19
845,"1-5 yrs","Analytics","Gurgaon",3,6,190,"analytics",1
853,"3-7 yrs","Analytics","Noida",3,6,4877,"data science",5
853,"3-7 yrs","Analytics","Noida",3,6,4877,"analytics",1
853,"3-7 yrs","Analytics","Noida",3,6,4877,"machine learning",9
858,"1-5 yrs","Analytics","Bengaluru",6,10,2146,"r",17
858,"1-5 yrs","Analytics","Bengaluru",6,10,2146,"machine learning",9
858,"1-5 yrs","Analytics","Bengaluru",6,10,2146,"python",16
860,"8-12 yrs","Analytics","Pune",6,10,3612,"machine learning",9
860,"8-12 yrs","Analytics","Pune",6,10,3612,"r",17
864,"5-10 yrs","Analytics","Gurgaon, Noida, Gurugram",15,25,2906,"sql",19
868,"9-13 yrs","Analytics","Mumbai",25,50,1904,"r",17
868,"9-13 yrs","Analytics","Mumbai",25,50,1904,"machine learning",9
868,"9-13 yrs","Analytics","Mumbai",25,50,1904,"python",16
870,"6-11 yrs","Analytics","Bengaluru",15,25,1839,"machine learning",9
870,"6-11 yrs","Analytics","Bengaluru",15,25,1839,"r",17
870,"6-11 yrs","Analytics","Bengaluru",15,25,1839,"hadoop",8
871,"3-7 yrs",NA,"Mumbai",10,15,4953,"python",16
873,"5-8 yrs","Analytics","Bengaluru",15,25,4829,"python",16
873,"5-8 yrs","Analytics","Bengaluru",15,25,4829,"big data analytics",3
874,"2-5 yrs","analytics","Chennai",6,10,4517,"analytics",1
877,"5-10 yrs","Analytics","Gurgaon",6,10,3478,"analytics",1
878,"3-8 yrs","Analytics","Singapore",25,50,1262,"python",16
879,"5-7 yrs",NA,"Delhi NCR, Gurgaon",15,25,1988,"matlab",12
884,"2-5 yrs","Analytics","Mumbai, Bengaluru",6,10,1473,"r",17
884,"2-5 yrs","Analytics","Mumbai, Bengaluru",6,10,1473,"sql",19
884,"2-5 yrs","Analytics","Mumbai, Bengaluru",6,10,1473,"big data analytics",3
884,"2-5 yrs","Analytics","Mumbai, Bengaluru",6,10,1473,"predictive analytics",15
896,"4-9 yrs",NA,"Bengaluru, Trivandrum, Kochi",15,25,1305,"sql",19
