"","Gender","Age","Location","Education","Major","Title","Industry","Experience","DataScientist","PrimarySkill","skill1"
"29","Female","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Not employed",NA,NA,"Definitely not",NA,NA
"30","Male","25-29","Germany","Master’s degree","Other","Student","I am a student","5-10","Probably yes",NA,"I do not know"
"31","Female","35-39","Netherlands","Bachelor’s degree","Mathematics or statistics","Other","Academics/Education","0-1","Definitely not",NA,"I do not know"
"32","Male","35-39","Germany","Master’s degree","Mathematics or statistics","Software Engineer","Computers/Technology","5-10","Probably yes",NA,"No (we do not use ML methods)"
"33","Prefer to self-describe","25-29","Russia","No formal education past high school",NA,"Not employed",NA,NA,"Maybe",NA,NA
"34","Male","70-79","India","Doctoral degree","Engineering (non-computer focused)","Research Scientist","Medical/Pharmaceutical","30 +","Maybe",NA,"We are exploring ML methods (and may one day put a model into production)"
"35","Male","40-44","Italy","Bachelor’s degree","Physics or astronomy","Not employed",NA,NA,"Maybe",NA,NA
"36","Male","35-39","United Kingdom of Great Britain and Northern Ireland","Master’s degree","Other","Software Engineer","Computers/Technology","5-10","Probably yes",NA,"We are exploring ML methods (and may one day put a model into production)"
"37","Male","30-34","Italy","Master’s degree","Engineering (non-computer focused)","Student","Other",NA,"Definitely not",NA,"No (we do not use ML methods)"
"38","Male","55-59","United States of America","No formal education past high school",NA,"Not employed",NA,NA,"Definitely yes",NA,NA
"39","Male","25-29","Ireland","Master’s degree","Mathematics or statistics","Not employed",NA,NA,"Probably yes",NA,NA
"40","Male","55-59","United States of America","Doctoral degree","Engineering (non-computer focused)","Research Scientist","Academics/Education","20-25","Definitely not",NA,"We use ML methods for generating insights (but do not put working models into production)"
"41","Male","25-29","Italy","No formal education past high school",NA,"Software Engineer","Computers/Technology","2-3","Maybe",NA,"No (we do not use ML methods)"
"42","Male","35-39","Spain","Doctoral degree","Physics or astronomy","Not employed",NA,NA,"Probably not",NA,NA
"43","Male","22-24","China","Master’s degree","Engineering (non-computer focused)","Student","I am a student","0-1","Probably not",NA,"We are exploring ML methods (and may one day put a model into production)"
"44","Male","25-29","Italy","Doctoral degree","Physics or astronomy","Research Scientist","Academics/Education",NA,"Definitely yes",NA,"We are exploring ML methods (and may one day put a model into production)"
"45","Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Data Analyst",NA,NA,NA,NA,NA
"46","Male","22-24","United States of America","Bachelor’s degree","Mathematics or statistics","Not employed",NA,NA,"Probably not",NA,NA
"47","Male","22-24","United States of America","Bachelor’s degree","Mathematics or statistics","Student","I am a student","0-1",NA,NA,NA
"48","Male","18-21","Australia",NA,NA,NA,NA,NA,NA,NA,NA
"49","Male","18-21","China",NA,NA,NA,NA,NA,NA,NA,NA
"50","Male","25-29","Italy","Bachelor’s degree","Physics or astronomy","Other","Shipping/Transportation","1-2","Probably not",NA,"No (we do not use ML methods)"
"51","Male","45-49","Netherlands","No formal education past high school",NA,"Consultant","Insurance/Risk Assessment","20-25","Probably not",NA,"I do not know"
"52","Male","35-39","Denmark","Doctoral degree",NA,NA,NA,NA,NA,NA,NA
"53","Female","30-34","United States of America","Professional degree","Engineering (non-computer focused)","Other","Other","10-15","Probably not",NA,"I do not know"
"54","Male","22-24","Brazil","Master’s degree","Mathematics or statistics","Student","I am a student","4-5",NA,NA,"No (we do not use ML methods)"
"55","Male","30-34","India","Bachelor’s degree","Engineering (non-computer focused)","DBA/Database Engineer","Other","10-15","Definitely yes",NA,"We are exploring ML methods (and may one day put a model into production)"
"56","Female","35-39","Russia","No formal education past high school",NA,"Not employed",NA,NA,"Definitely yes",NA,NA
"57","Male","30-34","Poland","No formal education past high school",NA,"Not employed",NA,NA,"Probably yes",NA,NA
"58","Male","50-54","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"59","Female","25-29","China",NA,NA,NA,NA,NA,NA,NA,NA
"60","Male","35-39","China","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"61","Male","22-24","China","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","3-4",NA,NA,"I do not know"
"62","Prefer not to say","25-29","China","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"63","Male","18-21","China",NA,NA,NA,NA,NA,NA,NA,NA
"64","Male","22-24","China","Master’s degree","Fine arts or performing arts","Data Engineer",NA,NA,NA,NA,NA
"65","Female","25-29","China","Master’s degree","Engineering (non-computer focused)",NA,NA,NA,NA,NA,NA
"66","Male","22-24","China","Master’s degree","Engineering (non-computer focused)",NA,NA,NA,NA,NA,NA
"67","Male","25-29","China",NA,NA,NA,NA,NA,NA,NA,NA
"68","Female","22-24","China",NA,NA,NA,NA,NA,NA,NA,NA
"69","Female","25-29","China","No formal education past high school",NA,"Software Engineer",NA,NA,NA,NA,NA
"70","Male","25-29","Germany","Master’s degree","Engineering (non-computer focused)","Student","I am a student","1-2",NA,NA,"We are exploring ML methods (and may one day put a model into production)"
"71","Male","22-24","France","Master’s degree","Mathematics or statistics","Student","I am a student","0-1",NA,NA,"I do not know"
"72","Male","22-24","Italy","Master’s degree","Mathematics or statistics","Student","I am a student",NA,NA,NA,NA
"73","Male","18-21","China","Master’s degree","Engineering (non-computer focused)","Student","I am a student","10-15",NA,NA,"I do not know"
"74","Female","22-24","India","Bachelor’s degree","Other","Student","I am a student","0-1",NA,NA,NA
"75","Male","25-29","South Africa","Bachelor’s degree","Engineering (non-computer focused)","Data Scientist","Other","1-2",NA,NA,NA
"76","Male","35-39","China",NA,NA,NA,NA,NA,NA,NA,NA
"77","Female","22-24","China",NA,NA,NA,NA,NA,NA,NA,NA
"78","Male","22-24","China",NA,NA,NA,NA,NA,NA,NA,NA
"79","Female","22-24","China",NA,NA,NA,NA,NA,NA,NA,NA
"80","Female","25-29","India","Master’s degree","Other","Data Scientist",NA,NA,NA,NA,NA
"81","Male","18-21","India",NA,NA,NA,NA,NA,NA,NA,NA
"82","Female","22-24","India","Master’s degree","Physics or astronomy","Statistician","Marketing/CRM","0-1",NA,NA,"We are exploring ML methods (and may one day put a model into production)"
"83","Male","22-24","India","Some college/university study without earning a bachelor’s degree","Environmental science or geology","Data Scientist",NA,NA,NA,NA,NA
"84","Male","18-21","India","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"85","Male","18-21","China","No formal education past high school",NA,"Software Engineer",NA,NA,NA,NA,NA
"86","Male","22-24","United States of America","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"87","Male","35-39","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"88","Female","22-24","United States of America","Master’s degree","Fine arts or performing arts","Data Scientist","I am a student","0-1",NA,NA,"I do not know"
"89","Male","22-24","United States of America","Bachelor’s degree","Mathematics or statistics","Student","I am a student","3-4",NA,NA,NA
"90","Male","25-29","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"91","Male","25-29","United States of America","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"92","Male","25-29","United States of America","Master’s degree","Engineering (non-computer focused)","Data Scientist","Computers/Technology","2-3",NA,NA,NA
"93","Male","25-29","Colombia","Master’s degree","Engineering (non-computer focused)","Data Scientist","Insurance/Risk Assessment","2-3",NA,NA,NA
"94","Female","22-24","United States of America","Master’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,"I do not know"
"95","Male","30-34","United States of America","Bachelor’s degree","Mathematics or statistics","Data Analyst",NA,NA,NA,NA,NA
"96","Male","25-29","United States of America","Bachelor’s degree","Mathematics or statistics","Data Analyst","Retail/Sales",NA,NA,NA,NA
"97","Male","22-24","Brazil",NA,NA,NA,NA,NA,NA,NA,NA
"98","Male","22-24","China","Master’s degree","Other","Student","I am a student","1-2",NA,NA,"I do not know"
"99","Female","18-21","China","Master’s degree","Mathematics or statistics","Data Analyst",NA,NA,NA,NA,NA
"100","Male","22-24","China","Master’s degree","Engineering (non-computer focused)","Student","I am a student",NA,NA,NA,NA
"101","Male","35-39","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"102","Male","22-24","United States of America","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"103","Male","35-39","United States of America","Master’s degree","Engineering (non-computer focused)",NA,NA,NA,NA,NA,NA
"104","Female","22-24","India",NA,NA,NA,NA,NA,NA,NA,NA
"105","Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Not employed",NA,NA,NA,NA,NA
"106","Male","25-29","China",NA,NA,NA,NA,NA,NA,NA,NA
"107","Male","30-34","Argentina","Bachelor’s degree","Engineering (non-computer focused)","Consultant",NA,NA,NA,NA,NA
"108","Male","25-29","United States of America","Bachelor’s degree","Mathematics or statistics","Manager",NA,NA,NA,NA,NA
"109","Male","30-34","United States of America","Master’s degree","Mathematics or statistics","Data Scientist","I am a student","3-4",NA,NA,NA
"110","Male","18-21","India","Bachelor’s degree","Other","Student","I am a student","2-3",NA,NA,"I do not know"
"111","Male","22-24","Canada","Master’s degree","Engineering (non-computer focused)","Student","Computers/Technology","1-2",NA,NA,NA
"112","Female","25-29","China","Master’s degree","Mathematics or statistics","Data Analyst",NA,NA,NA,NA,NA
"113","Female","22-24","India","Master’s degree","Other","Data Analyst","I am a student","0-1",NA,NA,"I do not know"
"114","Male","22-24","Indonesia",NA,NA,NA,NA,NA,NA,NA,NA
"115","Male","30-34","United States of America","Master’s degree","Engineering (non-computer focused)","Manager","Broadcasting/Communications",NA,NA,NA,NA
"116","Female","25-29","Brazil",NA,NA,NA,NA,NA,NA,NA,NA
"117","Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,NA
"118","Male","40-44","India",NA,NA,NA,NA,NA,NA,NA,NA
"119","Prefer not to say","50-54","United States of America","No formal education past high school",NA,NA,NA,NA,NA,NA,NA
"120","Male","25-29","Brazil",NA,NA,NA,NA,NA,NA,NA,NA
"121","Female","22-24","China","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"122","Female","22-24","China","Master’s degree","Mathematics or statistics","Student","I am a student","1-2",NA,NA,"We use ML methods for generating insights (but do not put working models into production)"
"123","Male","25-29","India","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"124","Female","22-24","Brazil","Bachelor’s degree","Engineering (non-computer focused)","Not employed",NA,NA,NA,NA,NA
"125","Male","30-34","China",NA,NA,NA,NA,NA,NA,NA,NA
"126","Male","25-29","India","Doctoral degree","Mathematics or statistics","Other","Other","4-5",NA,NA,NA
"127","Female","30-34","United States of America","Doctoral degree","Mathematics or statistics","Research Scientist",NA,NA,NA,NA,NA
"128","Male","45-49","India","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"129","Female","22-24","India","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"130","Female","22-24","China",NA,NA,NA,NA,NA,NA,NA,NA
"131","Male","25-29","United States of America","Bachelor’s degree","Mathematics or statistics","Data Scientist","I am a student","1-2",NA,NA,"I do not know"
"132","Male","30-34","Canada","Master’s degree","Physics or astronomy","Manager","Accounting/Finance","5-10",NA,NA,NA
"133","Female","18-21","United States of America","Bachelor’s degree","Mathematics or statistics","Student","I am a student","3-4",NA,NA,"I do not know"
"134","Male","22-24","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"135","Male","30-34","I do not wish to disclose my location",NA,NA,NA,NA,NA,NA,NA,NA
"136","Male","22-24","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"137","Female","30-34","India","Bachelor’s degree","Mathematics or statistics","Data Scientist",NA,NA,NA,NA,NA
"138","Female","22-24","China","Master’s degree","Mathematics or statistics","Student","I am a student",NA,NA,NA,NA
"139","Female","25-29","Canada","Master’s degree","Mathematics or statistics","Student","I am a student","0-1",NA,NA,"I do not know"
"140","Male","18-21","United States of America","Some college/university study without earning a bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"141","Male","25-29","India","Master’s degree","Engineering (non-computer focused)","Not employed",NA,NA,"Definitely not",NA,NA
"142","Female","18-21","Thailand","Some college/university study without earning a bachelor’s degree","Other","Student","I am a student",NA,NA,NA,NA
"143","Male","25-29","China","Bachelor’s degree","Mathematics or statistics","Data Analyst","Marketing/CRM","2-3",NA,NA,"I do not know"
"144","Male","22-24","United States of America","Master’s degree","Other","Data Scientist",NA,NA,NA,NA,NA
"145","Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,"We are exploring ML methods (and may one day put a model into production)"
"146","Male","25-29","China","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"147","Female","22-24","United States of America","Master’s degree","Engineering (non-computer focused)","Data Engineer","Accounting/Finance","0-1",NA,NA,NA
"148","Female","22-24","Brazil","Bachelor’s degree","Mathematics or statistics",NA,NA,NA,NA,NA,NA
"149","Male","18-21","India","Master’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,"I do not know"
"150","Male","25-29","Brazil","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"151","Male","30-34","China","No formal education past high school",NA,"Data Analyst",NA,NA,NA,NA,NA
"152","Female","18-21","Other","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","3-4",NA,NA,"I do not know"
"153","Male","18-21","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"154","Male","25-29","United States of America","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"155","Male","30-34","Canada","Doctoral degree",NA,NA,NA,NA,NA,NA,NA
"156","Male","25-29","United States of America","Master’s degree","Engineering (non-computer focused)","Data Analyst","Academics/Education","1-2",NA,NA,NA
"157","Male","30-34","United States of America","Master’s degree","Other","Manager","Online Service/Internet-based Services",NA,NA,NA,NA
"158","Male","25-29","China",NA,NA,NA,NA,NA,NA,NA,NA
"159","Male","30-34","United States of America","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"160","Female","22-24","China","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"161","Male","18-21","Brazil",NA,NA,NA,NA,NA,NA,NA,NA
"162","Male","22-24","Japan","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"163","Male","18-21","China",NA,NA,NA,NA,NA,NA,NA,NA
"164","Male","22-24","China",NA,NA,NA,NA,NA,NA,NA,NA
"165","Male","22-24","China","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"166","Male","30-34","United States of America","Master’s degree","Engineering (non-computer focused)","Consultant",NA,NA,NA,NA,NA
"167","Male","25-29","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"168","Female","22-24","Canada","Bachelor’s degree","Mathematics or statistics","Student","I am a student","0-1",NA,NA,NA
"169","Male","18-21","India","Bachelor’s degree","Other","Student","Academics/Education","0-1",NA,NA,NA
"170","Male","30-34","India","Bachelor’s degree","Other",NA,NA,NA,NA,NA,NA
"171","Male","22-24","India","Bachelor’s degree","Engineering (non-computer focused)","Software Engineer","Computers/Technology",NA,NA,NA,NA
"172","Male","25-29","United States of America","Master’s degree","Engineering (non-computer focused)","Data Scientist","Insurance/Risk Assessment",NA,NA,NA,NA
"173","Female","22-24","India","Master’s degree","Mathematics or statistics","Student","Academics/Education",NA,NA,NA,NA
"174","Male","22-24","China","Master’s degree","Engineering (non-computer focused)","Student","I am a student","0-1","Probably not",NA,"I do not know"
"175","Male","25-29","United States of America","Master’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,NA
"176","Male","18-21","India",NA,NA,NA,NA,NA,NA,NA,NA
"177","Male","18-21","China",NA,NA,NA,NA,NA,NA,NA,NA
"178","Female","22-24","China","Master’s degree","Mathematics or statistics","Data Analyst",NA,NA,NA,NA,NA
"179","Female","18-21","United States of America","Some college/university study without earning a bachelor’s degree","Mathematics or statistics","Student","I am a student","0-1",NA,NA,NA
"180","Male","25-29","South Korea",NA,NA,NA,NA,NA,NA,NA,NA
"181","Male","25-29","India",NA,NA,NA,NA,NA,NA,NA,NA
"182","Male","25-29","China","Doctoral degree","Physics or astronomy",NA,NA,NA,NA,NA,NA
"183","Male","40-44","Republic of Korea",NA,NA,NA,NA,NA,NA,NA,NA
"184","Male","18-21","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"185","Male","25-29","China","Master’s degree","Physics or astronomy","Student","I am a student","0-1",NA,NA,NA
"186","Male","22-24","Colombia","Professional degree",NA,NA,NA,NA,NA,NA,NA
"187","Male","22-24","United States of America","Master’s degree","Other",NA,NA,NA,NA,NA,NA
"188","Male","25-29","Mexico","Master’s degree","Engineering (non-computer focused)","Not employed",NA,NA,NA,NA,NA
"189","Male","55-59","Brazil","Doctoral degree","Engineering (non-computer focused)","Software Engineer","Academics/Education","25-30",NA,NA,"No (we do not use ML methods)"
"190","Female","22-24","India","Bachelor’s degree","Engineering (non-computer focused)","Not employed",NA,NA,NA,NA,NA
"191","Male","22-24","United States of America","Bachelor’s degree","Mathematics or statistics","Student","I am a student","3-4",NA,NA,"No (we do not use ML methods)"
"192","Female","22-24","China","Master’s degree","Mathematics or statistics",NA,NA,NA,NA,NA,NA
"193","Male","25-29","Brazil","Doctoral degree",NA,NA,NA,NA,NA,NA,NA
"194","Female","35-39","Russia","Master’s degree","Engineering (non-computer focused)",NA,NA,NA,NA,NA,NA
"195","Male","25-29","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"196","Male","50-54","Brazil","Bachelor’s degree","Other","Student","Computers/Technology","1-2",NA,NA,NA
"197","Male","25-29","Brazil","Professional degree",NA,NA,NA,NA,NA,NA,NA
"198","Male","30-34","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"199","Female","30-34","South Korea","Doctoral degree","Mathematics or statistics","Data Analyst","Medical/Pharmaceutical","3-4",NA,NA,NA
"200","Male","25-29","Canada","Doctoral degree","Engineering (non-computer focused)",NA,NA,NA,NA,NA,NA
"201","Male","22-24","China","Bachelor’s degree","Engineering (non-computer focused)","Data Analyst","Online Business/Internet-based Sales","1-2",NA,NA,NA
"202","Prefer not to say","30-34","United States of America","Doctoral degree",NA,NA,NA,NA,NA,NA,NA
"203","Male","18-21","India",NA,NA,NA,NA,NA,NA,NA,NA
"204","Male","22-24","Chile","Master’s degree","Mathematics or statistics","Data Analyst",NA,NA,NA,NA,NA
"205","Male","22-24","Pakistan","Bachelor’s degree","Other","Student",NA,NA,NA,NA,NA
"206","Male","35-39","Brazil",NA,NA,NA,NA,NA,NA,NA,NA
"207","Male","25-29","Brazil",NA,NA,NA,NA,NA,NA,NA,NA
"208","Male","22-24","China",NA,NA,NA,NA,NA,NA,NA,NA
"209","Male","22-24","Canada",NA,NA,NA,NA,NA,NA,NA,NA
"210","Male","25-29","China","Master’s degree","Mathematics or statistics","Data Scientist","Computers/Technology","1-2",NA,NA,NA
"211","Male","22-24","United States of America","Master’s degree","Engineering (non-computer focused)","Data Scientist","I am a student",NA,NA,NA,NA
"212","Male","22-24","United States of America","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"213","Prefer not to say","25-29","United States of America","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"214","Male","55-59","United States of America","Bachelor’s degree","Mathematics or statistics","Software Engineer","Computers/Technology","30 +",NA,NA,NA
"215","Male","18-21","China","Master’s degree","Mathematics or statistics","Student","I am a student","2-3",NA,NA,"I do not know"
"216","Male","22-24","United States of America","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"217","Male","22-24","I do not wish to disclose my location","Master’s degree","Mathematics or statistics","Student",NA,NA,NA,NA,NA
"218","Female","25-29","United States of America","Bachelor’s degree","Mathematics or statistics","Data Analyst",NA,NA,NA,NA,NA
"219","Male","30-34","India","Master’s degree","Engineering (non-computer focused)","Data Scientist","Computers/Technology","2-3",NA,NA,NA
"220","Male","18-21","United States of America","Bachelor’s degree","Other","Student","I am a student","0-1",NA,NA,NA
"221","Male","22-24","India",NA,NA,NA,NA,NA,NA,NA,NA
"222","Male","22-24","India","Doctoral degree","Engineering (non-computer focused)","Student","Academics/Education","0-1",NA,NA,NA
"223","Male","25-29","Brazil","Doctoral degree","Physics or astronomy","Research Scientist","Academics/Education","1-2",NA,NA,"We are exploring ML methods (and may one day put a model into production)"
"224","Male","25-29","United States of America","Doctoral degree",NA,NA,NA,NA,NA,NA,NA
"225","Male","25-29","China","Doctoral degree","Mathematics or statistics",NA,NA,NA,NA,NA,NA
"226","Male","35-39","China",NA,NA,NA,NA,NA,NA,NA,NA
"227","Male","22-24","United States of America","Bachelor’s degree","Engineering (non-computer focused)","Software Engineer","Military/Security/Defense","0-1",NA,NA,NA
"228","Female","22-24","India","Master’s degree","Mathematics or statistics","Not employed",NA,NA,"Definitely not",NA,NA
"229","Prefer not to say","35-39","Other","Master’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,NA
"230","Male","22-24","Canada","Bachelor’s degree","Mathematics or statistics","Student","I am a student","2-3",NA,NA,"I do not know"
"231","Male","25-29","India","Master’s degree","Engineering (non-computer focused)",NA,NA,NA,NA,NA,NA
"232","Female","25-29","United States of America","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"233","Female","22-24","Canada",NA,NA,NA,NA,NA,NA,NA,NA
"234","Male","25-29","India",NA,NA,NA,NA,NA,NA,NA,NA
"235","Male","18-21","Brazil",NA,NA,NA,NA,NA,NA,NA,NA
"236","Female","22-24","United States of America","Master’s degree","Mathematics or statistics","Student","I am a student",NA,NA,NA,"No (we do not use ML methods)"
"237","Male","18-21","Turkey","I prefer not to answer",NA,NA,NA,NA,NA,NA,NA
"238","Male","22-24","United States of America","Master’s degree","Engineering (non-computer focused)","Data Scientist","I am a student","0-1",NA,NA,"We are exploring ML methods (and may one day put a model into production)"
"239","Male","18-21","United States of America","Bachelor’s degree","Other","Student","I am a student","10-15",NA,NA,NA
"240","Male","30-34","India",NA,NA,NA,NA,NA,NA,NA,NA
"241","Male","35-39","Other",NA,NA,NA,NA,NA,NA,NA,NA
"242","Male","22-24","India","I prefer not to answer","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,"No (we do not use ML methods)"
"243","Male","18-21","United States of America","Some college/university study without earning a bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"244","Female","25-29","Republic of Korea",NA,NA,NA,NA,NA,NA,NA,NA
"245","Male","22-24","India","Bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"246","Male","70-79","India",NA,NA,NA,NA,NA,NA,NA,NA
"247","Female","18-21","India","Master’s degree","Engineering (non-computer focused)","Student","I am a student",NA,NA,NA,"I do not know"
"248","Male","18-21","Brazil","Bachelor’s degree","Engineering (non-computer focused)","Student",NA,NA,NA,NA,NA
"249","Male","22-24","Brazil","Some college/university study without earning a bachelor’s degree",NA,NA,NA,NA,NA,NA,NA
"250","Male","30-34","Argentina","Doctoral degree","Mathematics or statistics","Research Assistant","Academics/Education",NA,NA,NA,NA
"251","Male","25-29","Italy",NA,NA,NA,NA,NA,NA,NA,NA
"252","Male","40-44","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"253","Male","22-24","China","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"254","Male","18-21","United States of America",NA,NA,NA,NA,NA,NA,NA,NA
"255","Male","50-54","United States of America","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"256","Female","22-24","United States of America","Bachelor’s degree","Mathematics or statistics","Research Scientist","Military/Security/Defense","0-1",NA,NA,"We are exploring ML methods (and may one day put a model into production)"
"257","Male","18-21","United States of America","Bachelor’s degree","Other","Student","I am a student",NA,NA,NA,"I do not know"
"258","Male","25-29","India","Master’s degree","Environmental science or geology","Student","I am a student","0-1",NA,NA,"I do not know"
"259","Male","18-21","India","Master’s degree","Engineering (non-computer focused)","Data Analyst","Academics/Education","0-1",NA,NA,NA
"260","Male","22-24","China","Master’s degree","Mathematics or statistics","Student","Computers/Technology","1-2",NA,NA,"No (we do not use ML methods)"
"261","Female","40-44","United States of America","Bachelor’s degree","Mathematics or statistics","Data Scientist",NA,NA,NA,NA,NA
"262","Female","25-29","United States of America","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"263","Female","35-39","Mexico","Master’s degree",NA,NA,NA,NA,NA,NA,NA
"264","Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,"I do not know"
