"","id","q","ans","key_skills_id","min_salary","max_salary","gender","age","location","education","title","experience"
"18",11,"Q16_Part_1","python",16,0,10,"Male","22-24","Other","Master’s degree","Data Scientist","0-1"
"19",12,"Q16_Part_2","r",17,70,80,"Male","25-29","Sweden","Bachelor’s degree","Data Scientist","4-5"
"20",12,"Q16_Part_3","sql",19,70,80,"Male","25-29","Sweden","Bachelor’s degree","Data Scientist","4-5"
"21",13,"Q13_Part_7","matlab",12,0,10,"Male","18-21","India","Bachelor’s degree","Data Scientist","0-1"
"22",13,"Q16_Part_1","python",16,0,10,"Male","18-21","India","Bachelor’s degree","Data Scientist","0-1"
"23",14,"Q16_Part_1","python",16,50,60,"Male","25-29","I do not wish to disclose my location","Doctoral degree","Data Scientist","0-1"
"24",14,"Q16_Part_3","sql",19,50,60,"Male","25-29","I do not wish to disclose my location","Doctoral degree","Data Scientist","0-1"
"25",15,"Q16_Part_1","python",16,125,150,"Male","30-34","United States of America","Doctoral degree","Data Scientist","3-4"
"26",15,"Q16_Part_2","r",17,125,150,"Male","30-34","United States of America","Doctoral degree","Data Scientist","3-4"
"27",15,"Q16_Part_3","sql",19,125,150,"Male","30-34","United States of America","Doctoral degree","Data Scientist","3-4"
"28",16,"Q16_Part_1","python",16,40,50,"Male","40-44","Spain","Master’s degree","Data Scientist","0-1"
"29",16,"Q16_Part_2","r",17,40,50,"Male","40-44","Spain","Master’s degree","Data Scientist","0-1"
"30",16,"Q16_Part_3","sql",19,40,50,"Male","40-44","Spain","Master’s degree","Data Scientist","0-1"
"31",17,"Q16_Part_1","python",16,125,150,"Female","35-39","United States of America","Doctoral degree","Data Scientist","10-15"
"32",17,"Q16_Part_2","r",17,125,150,"Female","35-39","United States of America","Doctoral degree","Data Scientist","10-15"
"33",17,"Q16_Part_3","sql",19,125,150,"Female","35-39","United States of America","Doctoral degree","Data Scientist","10-15"
"34",18,"Q16_Part_1","python",16,70,80,"Male","30-34","France","Master’s degree","Data Scientist","1-2"
"35",18,"Q16_Part_2","r",17,70,80,"Male","30-34","France","Master’s degree","Data Scientist","1-2"
"36",19,"Q16_Part_1","python",16,40,50,"Male","40-44","France","Doctoral degree","Data Scientist","1-2"
"37",19,"Q16_Part_2","r",17,40,50,"Male","40-44","France","Doctoral degree","Data Scientist","1-2"
"38",20,"Q16_Part_1","python",16,70,80,"Male","35-39","Sweden","Doctoral degree","Data Scientist","2-3"
"39",20,"Q16_Part_2","r",17,70,80,"Male","35-39","Sweden","Doctoral degree","Data Scientist","2-3"
"40",21,"Q16_Part_1","python",16,125,150,"Male","35-39","United States of America","Master’s degree","Data Scientist","1-2"
"41",21,"Q16_Part_3","sql",19,125,150,"Male","35-39","United States of America","Master’s degree","Data Scientist","1-2"
"42",22,"Q16_Part_1","python",16,125,150,"Male","25-29","United States of America","Doctoral degree","Data Scientist","0-1"
"43",23,"Q13_Part_7","matlab",12,60,70,"Male","30-34","South Africa","Master’s degree","Data Scientist","1-2"
"44",23,"Q16_Part_1","python",16,60,70,"Male","30-34","South Africa","Master’s degree","Data Scientist","1-2"
"45",23,"Q16_Part_9","matlab",12,60,70,"Male","30-34","South Africa","Master’s degree","Data Scientist","1-2"
"46",24,"Q13_Part_7","matlab",12,10,20,"Male","25-29","Brazil","Master’s degree","Data Scientist","1-2"
"47",24,"Q16_Part_1","python",16,10,20,"Male","25-29","Brazil","Master’s degree","Data Scientist","1-2"
"48",25,"Q13_Part_7","matlab",12,40,50,"Female","25-29","United States of America","Master’s degree","Data Scientist","0-1"
"49",25,"Q16_Part_1","python",16,40,50,"Female","25-29","United States of America","Master’s degree","Data Scientist","0-1"
"50",25,"Q16_Part_2","r",17,40,50,"Female","25-29","United States of America","Master’s degree","Data Scientist","0-1"
"51",25,"Q16_Part_3","sql",19,40,50,"Female","25-29","United States of America","Master’s degree","Data Scientist","0-1"
"52",26,"Q16_Part_2","r",17,40,50,"Male","35-39","Other","Master’s degree","Data Scientist","5-10"
"53",26,"Q16_Part_3","sql",19,40,50,"Male","35-39","Other","Master’s degree","Data Scientist","5-10"
"54",27,"Q16_Part_1","python",16,50,60,"Male","40-44","China","Doctoral degree","Data Scientist","5-10"
"55",28,"Q16_Part_1","python",16,100,125,"Male","55-59","United States of America","Master’s degree","Data Scientist","0-1"
"56",28,"Q16_Part_2","r",17,100,125,"Male","55-59","United States of America","Master’s degree","Data Scientist","0-1"
"57",28,"Q16_Part_3","sql",19,100,125,"Male","55-59","United States of America","Master’s degree","Data Scientist","0-1"
"58",29,"Q16_Part_1","python",16,40,50,"Male","25-29","France","Master’s degree","Data Scientist","1-2"
"59",29,"Q16_Part_3","sql",19,40,50,"Male","25-29","France","Master’s degree","Data Scientist","1-2"
"60",30,"Q16_Part_1","python",16,40,50,"Male","30-34","Hong Kong (S.A.R.)","Doctoral degree","Data Scientist","3-4"
"61",30,"Q16_Part_2","r",17,40,50,"Male","30-34","Hong Kong (S.A.R.)","Doctoral degree","Data Scientist","3-4"
"62",31,"Q16_Part_1","python",16,30,40,"Male","25-29","Russia","Master’s degree","Data Scientist","1-2"
"63",31,"Q16_Part_3","sql",19,30,40,"Male","25-29","Russia","Master’s degree","Data Scientist","1-2"
"64",32,"Q13_Part_7","matlab",12,150,200,"Male","50-54","Spain","Doctoral degree","Data Scientist","25-30"
"65",32,"Q16_Part_1","python",16,150,200,"Male","50-54","Spain","Doctoral degree","Data Scientist","25-30"
"66",32,"Q16_Part_9","matlab",12,150,200,"Male","50-54","Spain","Doctoral degree","Data Scientist","25-30"
"67",33,"Q16_Part_1","python",16,0,10,"Male","35-39","China","Some college/university study without earning a bachelor’s degree","Data Scientist","3-4"
"68",34,"Q13_Part_7","matlab",12,30,40,"Male","22-24","China","Bachelor’s degree","Data Scientist","0-1"
"69",34,"Q16_Part_1","python",16,30,40,"Male","22-24","China","Bachelor’s degree","Data Scientist","0-1"
"70",34,"Q16_Part_2","r",17,30,40,"Male","22-24","China","Bachelor’s degree","Data Scientist","0-1"
"71",34,"Q16_Part_3","sql",19,30,40,"Male","22-24","China","Bachelor’s degree","Data Scientist","0-1"
"72",34,"Q16_Part_9","matlab",12,30,40,"Male","22-24","China","Bachelor’s degree","Data Scientist","0-1"
"73",35,"Q13_Part_7","matlab",12,10,20,"Male","40-44","China","Doctoral degree","Data Scientist","15-20"
"74",35,"Q16_Part_1","python",16,10,20,"Male","40-44","China","Doctoral degree","Data Scientist","15-20"
"75",35,"Q16_Part_2","r",17,10,20,"Male","40-44","China","Doctoral degree","Data Scientist","15-20"
"76",35,"Q16_Part_3","sql",19,10,20,"Male","40-44","China","Doctoral degree","Data Scientist","15-20"
"77",35,"Q16_Part_9","matlab",12,10,20,"Male","40-44","China","Doctoral degree","Data Scientist","15-20"
"78",36,"Q16_Part_1","python",16,70,80,"Male","25-29","China","Master’s degree","Data Scientist","3-4"
"79",36,"Q16_Part_3","sql",19,70,80,"Male","25-29","China","Master’s degree","Data Scientist","3-4"
"80",37,"Q16_Part_1","python",16,40,50,"Male","25-29","China","Master’s degree","Data Scientist","2-3"
"81",38,"Q16_Part_1","python",16,0,10,"Male","25-29","China","Master’s degree","Data Scientist","0-1"
"82",38,"Q16_Part_3","sql",19,0,10,"Male","25-29","China","Master’s degree","Data Scientist","0-1"
"83",38,"Q16_Part_9","matlab",12,0,10,"Male","25-29","China","Master’s degree","Data Scientist","0-1"
"84",41,"Q16_Part_1","python",16,0,10,"Male","22-24","India","Master’s degree","Data Scientist","2-3"
"85",41,"Q16_Part_2","r",17,0,10,"Male","22-24","India","Master’s degree","Data Scientist","2-3"
"86",41,"Q16_Part_3","sql",19,0,10,"Male","22-24","India","Master’s degree","Data Scientist","2-3"
"87",43,"Q16_Part_1","python",16,0,10,"Male","25-29","India","Bachelor’s degree","Data Scientist","0-1"
"88",45,"Q16_Part_1","python",16,20,30,"Male","30-34","India","Master’s degree","Data Scientist","2-3"
"89",45,"Q16_Part_2","r",17,20,30,"Male","30-34","India","Master’s degree","Data Scientist","2-3"
"90",46,"Q13_Part_7","matlab",12,0,10,"Male","22-24","India","Bachelor’s degree","Data Scientist","1-2"
"91",46,"Q16_Part_1","python",16,0,10,"Male","22-24","India","Bachelor’s degree","Data Scientist","1-2"
"92",46,"Q16_Part_2","r",17,0,10,"Male","22-24","India","Bachelor’s degree","Data Scientist","1-2"
"93",46,"Q16_Part_3","sql",19,0,10,"Male","22-24","India","Bachelor’s degree","Data Scientist","1-2"
"94",47,"Q16_Part_1","python",16,60,70,"Male","45-49","China","Master’s degree","Data Scientist","5-10"
"95",48,"Q16_Part_1","python",16,50,60,"Male","25-29","India","Bachelor’s degree","Data Scientist","0-1"
"96",48,"Q16_Part_2","r",17,50,60,"Male","25-29","India","Bachelor’s degree","Data Scientist","0-1"
"97",49,"Q16_Part_1","python",16,0,10,"Male","25-29","India","Bachelor’s degree","Data Scientist","0-1"
"98",49,"Q16_Part_3","sql",19,0,10,"Male","25-29","India","Bachelor’s degree","Data Scientist","0-1"
"99",50,"Q16_Part_2","r",17,0,10,"Male","25-29","India","Bachelor’s degree","Data Scientist","0-1"
"100",51,"Q16_Part_1","python",16,20,30,"Male","25-29","India","Bachelor’s degree","Data Scientist","3-4"
"101",51,"Q16_Part_3","sql",19,20,30,"Male","25-29","India","Bachelor’s degree","Data Scientist","3-4"
"102",54,"Q16_Part_1","python",16,0,10,"Male","25-29","India","Master’s degree","Data Scientist","4-5"
"103",54,"Q16_Part_2","r",17,0,10,"Male","25-29","India","Master’s degree","Data Scientist","4-5"
"104",54,"Q16_Part_3","sql",19,0,10,"Male","25-29","India","Master’s degree","Data Scientist","4-5"
"105",54,"Q16_Part_9","matlab",12,0,10,"Male","25-29","India","Master’s degree","Data Scientist","4-5"
"106",55,"Q13_Part_7","matlab",12,0,10,"Male","18-21","India","Master’s degree","Data Scientist","0-1"
"107",55,"Q16_Part_1","python",16,0,10,"Male","18-21","India","Master’s degree","Data Scientist","0-1"
"108",56,"Q16_Part_1","python",16,10,20,"Male","40-44","China","Doctoral degree","Data Scientist","10-15"
"109",57,"Q16_Part_1","python",16,0,10,"Male","25-29","India","Professional degree","Data Scientist","1-2"
"110",57,"Q16_Part_3","sql",19,0,10,"Male","25-29","India","Professional degree","Data Scientist","1-2"
"111",58,"Q16_Part_1","python",16,20,30,"Male","25-29","India","Bachelor’s degree","Data Scientist","3-4"
"112",58,"Q16_Part_2","r",17,20,30,"Male","25-29","India","Bachelor’s degree","Data Scientist","3-4"
"113",58,"Q16_Part_3","sql",19,20,30,"Male","25-29","India","Bachelor’s degree","Data Scientist","3-4"
"114",59,"Q16_Part_1","python",16,0,10,"Male","35-39","India","Master’s degree","Data Scientist","0-1"
"115",59,"Q16_Part_2","r",17,0,10,"Male","35-39","India","Master’s degree","Data Scientist","0-1"
"116",59,"Q16_Part_3","sql",19,0,10,"Male","35-39","India","Master’s degree","Data Scientist","0-1"
"117",59,"Q16_Part_9","matlab",12,0,10,"Male","35-39","India","Master’s degree","Data Scientist","0-1"
"118",61,"Q13_Part_7","matlab",12,50,60,"Male","22-24","India","Bachelor’s degree","Data Scientist","0-1"
"119",61,"Q16_Part_1","python",16,50,60,"Male","22-24","India","Bachelor’s degree","Data Scientist","0-1"
"120",62,"Q16_Part_1","python",16,0,10,"Female","25-29","India","Professional degree","Data Scientist","0-1"
"121",62,"Q16_Part_2","r",17,0,10,"Female","25-29","India","Professional degree","Data Scientist","0-1"
"122",62,"Q16_Part_3","sql",19,0,10,"Female","25-29","India","Professional degree","Data Scientist","0-1"
"123",63,"Q16_Part_1","python",16,10,20,"Male","35-39","India","Bachelor’s degree","Data Scientist","10-15"
"124",63,"Q16_Part_2","r",17,10,20,"Male","35-39","India","Bachelor’s degree","Data Scientist","10-15"
"125",64,"Q16_Part_1","python",16,30,40,"Male","30-34","India","Bachelor’s degree","Data Scientist","5-10"
"126",64,"Q16_Part_2","r",17,30,40,"Male","30-34","India","Bachelor’s degree","Data Scientist","5-10"
"127",66,"Q16_Part_1","python",16,0,10,"Male","18-21","India","Bachelor’s degree","Data Scientist","0-1"
"128",66,"Q16_Part_3","sql",19,0,10,"Male","18-21","India","Bachelor’s degree","Data Scientist","0-1"
"129",68,"Q16_Part_1","python",16,0,10,"Male","18-21","India","Bachelor’s degree","Data Scientist","0-1"
"130",68,"Q16_Part_2","r",17,0,10,"Male","18-21","India","Bachelor’s degree","Data Scientist","0-1"
"131",68,"Q16_Part_3","sql",19,0,10,"Male","18-21","India","Bachelor’s degree","Data Scientist","0-1"
"132",69,"Q16_Part_1","python",16,40,50,"Male","35-39","India","Master’s degree","Data Scientist","5-10"
"133",69,"Q16_Part_2","r",17,40,50,"Male","35-39","India","Master’s degree","Data Scientist","5-10"
"134",70,"Q13_Part_7","matlab",12,10,20,"Male","25-29","China","Doctoral degree","Data Scientist","4-5"
"135",70,"Q16_Part_1","python",16,10,20,"Male","25-29","China","Doctoral degree","Data Scientist","4-5"
"136",70,"Q16_Part_9","matlab",12,10,20,"Male","25-29","China","Doctoral degree","Data Scientist","4-5"
"137",72,"Q16_Part_1","python",16,20,30,"Male","35-39","India","Bachelor’s degree","Data Scientist","10-15"
"138",72,"Q16_Part_2","r",17,20,30,"Male","35-39","India","Bachelor’s degree","Data Scientist","10-15"
"139",74,"Q16_Part_1","python",16,10,20,"Male","25-29","India","Master’s degree","Data Scientist","1-2"
"140",74,"Q16_Part_2","r",17,10,20,"Male","25-29","India","Master’s degree","Data Scientist","1-2"
"141",74,"Q16_Part_3","sql",19,10,20,"Male","25-29","India","Master’s degree","Data Scientist","1-2"
"142",75,"Q16_Part_1","python",16,0,10,"Male","18-21","India","Bachelor’s degree","Data Scientist","0-1"
"143",75,"Q16_Part_2","r",17,0,10,"Male","18-21","India","Bachelor’s degree","Data Scientist","0-1"
"144",75,"Q16_Part_3","sql",19,0,10,"Male","18-21","India","Bachelor’s degree","Data Scientist","0-1"
"145",77,"Q16_Part_1","python",16,30,40,"Male","35-39","India","Master’s degree","Data Scientist","10-15"
"146",79,"Q16_Part_9","matlab",12,0,10,"Female","35-39","China","Doctoral degree","Data Scientist","1-2"
"147",80,"Q16_Part_2","r",17,10,20,"Male","30-34","India","Master’s degree","Data Scientist","5-10"
"148",80,"Q16_Part_3","sql",19,10,20,"Male","30-34","India","Master’s degree","Data Scientist","5-10"
"149",82,"Q16_Part_1","python",16,0,10,"Male","22-24","India","Master’s degree","Data Scientist","0-1"
"150",82,"Q16_Part_2","r",17,0,10,"Male","22-24","India","Master’s degree","Data Scientist","0-1"
"151",82,"Q16_Part_3","sql",19,0,10,"Male","22-24","India","Master’s degree","Data Scientist","0-1"
"152",83,"Q16_Part_1","python",16,10,20,"Male","50-54","India","Bachelor’s degree","Data Scientist","0-1"
"153",83,"Q16_Part_3","sql",19,10,20,"Male","50-54","India","Bachelor’s degree","Data Scientist","0-1"
"154",84,"Q16_Part_1","python",16,20,30,"Male","22-24","India","Bachelor’s degree","Data Scientist","1-2"
"155",85,"Q16_Part_1","python",16,0,10,"Male","22-24","India","Professional degree","Data Scientist","1-2"
"156",85,"Q16_Part_2","r",17,0,10,"Male","22-24","India","Professional degree","Data Scientist","1-2"
"157",85,"Q16_Part_3","sql",19,0,10,"Male","22-24","India","Professional degree","Data Scientist","1-2"
"158",86,"Q16_Part_1","python",16,10,20,"Male","18-21","India","Bachelor’s degree","Data Scientist","0-1"
"159",88,"Q13_Part_7","matlab",12,0,10,"Male","22-24","India","Master’s degree","Data Scientist","0-1"
"160",88,"Q16_Part_1","python",16,0,10,"Male","22-24","India","Master’s degree","Data Scientist","0-1"
"161",88,"Q16_Part_3","sql",19,0,10,"Male","22-24","India","Master’s degree","Data Scientist","0-1"
"162",88,"Q16_Part_9","matlab",12,0,10,"Male","22-24","India","Master’s degree","Data Scientist","0-1"
"163",89,"Q13_Part_7","matlab",12,0,10,"Male","22-24","India","Bachelor’s degree","Data Scientist","2-3"
"164",89,"Q16_Part_1","python",16,0,10,"Male","22-24","India","Bachelor’s degree","Data Scientist","2-3"
"165",89,"Q16_Part_2","r",17,0,10,"Male","22-24","India","Bachelor’s degree","Data Scientist","2-3"
"166",89,"Q16_Part_3","sql",19,0,10,"Male","22-24","India","Bachelor’s degree","Data Scientist","2-3"
"167",91,"Q13_Part_7","matlab",12,20,30,"Male","25-29","India","Some college/university study without earning a bachelor’s degree","Data Scientist","1-2"
"168",91,"Q16_Part_1","python",16,20,30,"Male","25-29","India","Some college/university study without earning a bachelor’s degree","Data Scientist","1-2"
"169",93,"Q16_Part_1","python",16,20,30,"Male","25-29","India","Master’s degree","Data Scientist","1-2"
"170",93,"Q16_Part_3","sql",19,20,30,"Male","25-29","India","Master’s degree","Data Scientist","1-2"
"171",94,"Q16_Part_1","python",16,0,10,"Male","25-29","India","Bachelor’s degree","Data Scientist","2-3"
"172",94,"Q16_Part_3","sql",19,0,10,"Male","25-29","India","Bachelor’s degree","Data Scientist","2-3"
"173",95,"Q16_Part_1","python",16,0,10,"Male","22-24","India","Bachelor’s degree","Data Scientist","1-2"
"174",95,"Q16_Part_2","r",17,0,10,"Male","22-24","India","Bachelor’s degree","Data Scientist","1-2"
"175",95,"Q16_Part_3","sql",19,0,10,"Male","22-24","India","Bachelor’s degree","Data Scientist","1-2"
"176",96,"Q16_Part_1","python",16,10,20,"Female","25-29","India","Master’s degree","Data Scientist","1-2"
"177",97,"Q16_Part_1","python",16,70,80,"Male","30-34","India","Bachelor’s degree","Data Scientist","0-1"
"178",97,"Q16_Part_2","r",17,70,80,"Male","30-34","India","Bachelor’s degree","Data Scientist","0-1"
"179",97,"Q16_Part_3","sql",19,70,80,"Male","30-34","India","Bachelor’s degree","Data Scientist","0-1"
"180",98,"Q16_Part_1","python",16,0,10,"Male","22-24","India","Master’s degree","Data Scientist","0-1"
"181",98,"Q16_Part_3","sql",19,0,10,"Male","22-24","India","Master’s degree","Data Scientist","0-1"
"182",100,"Q16_Part_1","python",16,30,40,"Male","35-39","India","Master’s degree","Data Scientist","5-10"
"183",100,"Q16_Part_2","r",17,30,40,"Male","35-39","India","Master’s degree","Data Scientist","5-10"
"184",101,"Q16_Part_2","r",17,10,20,"Female","25-29","India","Master’s degree","Data Scientist","0-1"
"185",102,"Q16_Part_1","python",16,10,20,"Male","22-24","India","Professional degree","Data Scientist","1-2"
"186",102,"Q16_Part_2","r",17,10,20,"Male","22-24","India","Professional degree","Data Scientist","1-2"
"187",102,"Q16_Part_3","sql",19,10,20,"Male","22-24","India","Professional degree","Data Scientist","1-2"
"188",103,"Q16_Part_1","python",16,20,30,"Male","35-39","Malaysia","Master’s degree","Data Scientist","5-10"
"189",103,"Q16_Part_3","sql",19,20,30,"Male","35-39","Malaysia","Master’s degree","Data Scientist","5-10"
"190",104,"Q16_Part_1","python",16,40,50,"Female","22-24","United Kingdom of Great Britain and Northern Ireland","Bachelor’s degree","Data Scientist","0-1"
"191",105,"Q16_Part_1","python",16,0,10,"Male","22-24","India","Bachelor’s degree","Data Scientist","0-1"
"192",105,"Q16_Part_3","sql",19,0,10,"Male","22-24","India","Bachelor’s degree","Data Scientist","0-1"
"193",106,"Q16_Part_1","python",16,0,10,"Male","22-24","India","Master’s degree","Data Scientist","0-1"
"194",108,"Q16_Part_1","python",16,30,40,"Male","30-34","Spain","Doctoral degree","Data Scientist","1-2"
"195",108,"Q16_Part_2","r",17,30,40,"Male","30-34","Spain","Doctoral degree","Data Scientist","1-2"
"196",108,"Q16_Part_3","sql",19,30,40,"Male","30-34","Spain","Doctoral degree","Data Scientist","1-2"
"197",110,"Q16_Part_1","python",16,50,60,"Male","25-29","Germany","Professional degree","Data Scientist","1-2"
"198",110,"Q16_Part_2","r",17,50,60,"Male","25-29","Germany","Professional degree","Data Scientist","1-2"
"199",110,"Q16_Part_3","sql",19,50,60,"Male","25-29","Germany","Professional degree","Data Scientist","1-2"
"200",111,"Q13_Part_7","matlab",12,0,10,"Male","25-29","India","Master’s degree","Data Scientist","0-1"
"201",111,"Q16_Part_1","python",16,0,10,"Male","25-29","India","Master’s degree","Data Scientist","0-1"
"202",112,"Q16_Part_1","python",16,70,80,"Male","22-24","China","Master’s degree","Data Scientist","1-2"
"203",112,"Q16_Part_2","r",17,70,80,"Male","22-24","China","Master’s degree","Data Scientist","1-2"
"204",112,"Q16_Part_3","sql",19,70,80,"Male","22-24","China","Master’s degree","Data Scientist","1-2"
"205",113,"Q16_Part_1","python",16,30,40,"Male","25-29","Poland","Master’s degree","Data Scientist","1-2"
"206",114,"Q16_Part_1","python",16,70,80,"Male","50-54","India","Master’s degree","Data Scientist","20-25"
"207",114,"Q16_Part_2","r",17,70,80,"Male","50-54","India","Master’s degree","Data Scientist","20-25"
"208",115,"Q16_Part_1","python",16,100,125,"Male","25-29","India","Master’s degree","Data Scientist","3-4"
"209",116,"Q16_Part_1","python",16,70,80,"Male","45-49","India","Master’s degree","Data Scientist","0-1"
"210",117,"Q13_Part_7","matlab",12,20,30,"Male","30-34","Italy","Doctoral degree","Data Scientist","5-10"
"211",117,"Q16_Part_1","python",16,20,30,"Male","30-34","Italy","Doctoral degree","Data Scientist","5-10"
"212",117,"Q16_Part_3","sql",19,20,30,"Male","30-34","Italy","Doctoral degree","Data Scientist","5-10"
"213",117,"Q16_Part_9","matlab",12,20,30,"Male","30-34","Italy","Doctoral degree","Data Scientist","5-10"
"214",118,"Q16_Part_1","python",16,60,70,"Male","22-24","Denmark","Master’s degree","Data Scientist","0-1"
"215",118,"Q16_Part_3","sql",19,60,70,"Male","22-24","Denmark","Master’s degree","Data Scientist","0-1"
"216",120,"Q16_Part_1","python",16,60,70,"Male","40-44","Germany","Master’s degree","Data Scientist","5-10"
"217",122,"Q13_Part_7","matlab",12,10,20,"Male","25-29","India","Master’s degree","Data Scientist","2-3"
"218",122,"Q16_Part_1","python",16,10,20,"Male","25-29","India","Master’s degree","Data Scientist","2-3"
"219",122,"Q16_Part_3","sql",19,10,20,"Male","25-29","India","Master’s degree","Data Scientist","2-3"
"220",122,"Q16_Part_9","matlab",12,10,20,"Male","25-29","India","Master’s degree","Data Scientist","2-3"
"221",123,"Q16_Part_1","python",16,20,30,"Male","35-39","India","Master’s degree","Data Scientist","3-4"
"222",123,"Q16_Part_3","sql",19,20,30,"Male","35-39","India","Master’s degree","Data Scientist","3-4"
"223",124,"Q16_Part_1","python",16,20,30,"Male","25-29","Other","Some college/university study without earning a bachelor’s degree","Data Scientist","1-2"
"224",125,"Q16_Part_1","python",16,10,20,"Male","22-24","India","Bachelor’s degree","Data Scientist","0-1"
"225",125,"Q16_Part_3","sql",19,10,20,"Male","22-24","India","Bachelor’s degree","Data Scientist","0-1"
"226",126,"Q16_Part_1","python",16,90,100,"Male","25-29","Ireland","Master’s degree","Data Scientist","0-1"
"227",126,"Q16_Part_2","r",17,90,100,"Male","25-29","Ireland","Master’s degree","Data Scientist","0-1"
"228",126,"Q16_Part_3","sql",19,90,100,"Male","25-29","Ireland","Master’s degree","Data Scientist","0-1"
"229",127,"Q16_Part_1","python",16,100,125,"Male","35-39","United Kingdom of Great Britain and Northern Ireland","Master’s degree","Data Scientist","0-1"
"230",127,"Q16_Part_2","r",17,100,125,"Male","35-39","United Kingdom of Great Britain and Northern Ireland","Master’s degree","Data Scientist","0-1"
"231",128,"Q16_Part_1","python",16,0,10,"Male","22-24","India","Bachelor’s degree","Data Scientist","0-1"
"232",128,"Q16_Part_2","r",17,0,10,"Male","22-24","India","Bachelor’s degree","Data Scientist","0-1"
"233",128,"Q16_Part_3","sql",19,0,10,"Male","22-24","India","Bachelor’s degree","Data Scientist","0-1"
"234",129,"Q16_Part_1","python",16,70,80,"Male","30-34","India","Bachelor’s degree","Data Scientist","0-1"
"235",129,"Q16_Part_2","r",17,70,80,"Male","30-34","India","Bachelor’s degree","Data Scientist","0-1"
"236",130,"Q13_Part_7","matlab",12,0,10,"Female","25-29","India","Bachelor’s degree","Data Scientist","3-4"
"237",130,"Q16_Part_1","python",16,0,10,"Female","25-29","India","Bachelor’s degree","Data Scientist","3-4"
"238",130,"Q16_Part_2","r",17,0,10,"Female","25-29","India","Bachelor’s degree","Data Scientist","3-4"
"239",130,"Q16_Part_3","sql",19,0,10,"Female","25-29","India","Bachelor’s degree","Data Scientist","3-4"
"240",131,"Q16_Part_1","python",16,10,20,"Male","25-29","India","Bachelor’s degree","Data Scientist","3-4"
"241",133,"Q16_Part_1","python",16,20,30,"Male","30-34","Russia","Doctoral degree","Data Scientist","2-3"
"242",134,"Q16_Part_1","python",16,20,30,"Male","22-24","Italy","Master’s degree","Data Scientist","0-1"
"243",134,"Q16_Part_2","r",17,20,30,"Male","22-24","Italy","Master’s degree","Data Scientist","0-1"
"244",134,"Q16_Part_3","sql",19,20,30,"Male","22-24","Italy","Master’s degree","Data Scientist","0-1"
"245",135,"Q16_Part_1","python",16,20,30,"Male","22-24","India","Bachelor’s degree","Data Scientist","1-2"
"246",136,"Q16_Part_1","python",16,30,40,"Male","35-39","Poland","Master’s degree","Data Scientist","2-3"
"247",136,"Q16_Part_3","sql",19,30,40,"Male","35-39","Poland","Master’s degree","Data Scientist","2-3"
"248",138,"Q16_Part_1","python",16,70,80,"Female","25-29","Germany","Master’s degree","Data Scientist","0-1"
"249",139,"Q13_Part_7","matlab",12,0,10,"Male","18-21","India","Bachelor’s degree","Data Scientist","0-1"
"250",139,"Q16_Part_1","python",16,0,10,"Male","18-21","India","Bachelor’s degree","Data Scientist","0-1"
"251",140,"Q16_Part_1","python",16,40,50,"Male","35-39","Poland","Master’s degree","Data Scientist","3-4"
"252",140,"Q16_Part_3","sql",19,40,50,"Male","35-39","Poland","Master’s degree","Data Scientist","3-4"
