"","ID","Gender","Age","Location","Education","Major","Title","Industry","Experience","DataScientist","PrimarySkill","Skills","name"
"21",9725,"Male","40-44","Italy","Bachelor’s degree","Physics or astronomy","Not employed",NA,NA,"Maybe",NA,"ML",NA
"22",10112,"Male","35-39","United Kingdom of Great Britain and Northern Ireland","Master’s degree",NA,"Software Engineer","Computers/Technology","5-10","Probably yes",NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"23",10184,"Male","30-34","Italy","Master’s degree","Engineering (non-computer focused)","Student",NA,NA,"Definitely not",NA,"ML","No (we do not use ML methods)"
"24",10542,"Male","25-29","Ireland","Master’s degree","Mathematics or statistics","Not employed",NA,NA,"Probably yes",NA,"ML",NA
"25",11107,"Male","55-59","United States of America","Doctoral degree","Engineering (non-computer focused)","Research Scientist","Academics/Education","20-25","Definitely not",NA,"ML","We use ML methods for generating insights (but do not put working models into production)"
"26",12026,"Male","25-29","Italy","No formal education past high school",NA,"Software Engineer","Computers/Technology","2-3","Maybe",NA,"ML","No (we do not use ML methods)"
"27",12495,"Male","22-24","China","Master’s degree","Engineering (non-computer focused)","Student","I am a student","0-1","Probably not",NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"28",12747,"Male","25-29","Italy","Doctoral degree","Physics or astronomy","Research Scientist","Academics/Education",NA,"Definitely yes",NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"29",12954,"Male","22-24","United States of America","Bachelor’s degree","Mathematics or statistics","Not employed",NA,NA,"Probably not",NA,"ML",NA
"30",13686,"Male","25-29","Italy","Bachelor’s degree","Physics or astronomy",NA,"Shipping/Transportation","1-2","Probably not",NA,"ML","No (we do not use ML methods)"
"31",13694,"Male","45-49","Netherlands","No formal education past high school",NA,"Consultant","Insurance/Risk Assessment","20-25","Probably not",NA,"ML","I do not know"
"32",13972,"Male","22-24","Brazil","Master’s degree","Mathematics or statistics","Student","I am a student","4-5",NA,NA,"ML","No (we do not use ML methods)"
"33",14075,"Male","30-34","India","Bachelor’s degree","Engineering (non-computer focused)","DBA/Database Engineer",NA,"10-15","Definitely yes",NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"34",14435,"Male","25-29","Germany","Master’s degree","Engineering (non-computer focused)","Student","I am a student","1-2",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"35",14650,"Female","22-24","India","Master’s degree","Physics or astronomy","Statistician","Marketing/CRM","0-1",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"36",14803,"Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Not employed",NA,NA,NA,NA,"ML",NA
"37",14834,"Male","18-21","India","Bachelor’s degree",NA,"Student","I am a student","2-3",NA,NA,"ML","I do not know"
"38",14896,"Female","22-24","China","Master’s degree","Mathematics or statistics","Student","I am a student","1-2",NA,NA,"ML","We use ML methods for generating insights (but do not put working models into production)"
"39",15013,"Male","25-29","India","Master’s degree","Engineering (non-computer focused)","Not employed",NA,NA,"Definitely not",NA,"ML",NA
"40",15035,"Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"41",15260,"Male","22-24","China","Master’s degree","Engineering (non-computer focused)","Student","I am a student","0-1","Probably not",NA,"ML","I do not know"
"42",15328,"Male","55-59","Brazil","Doctoral degree","Engineering (non-computer focused)","Software Engineer","Academics/Education","25-30",NA,NA,"ML","No (we do not use ML methods)"
"43",15338,"Male","22-24","United States of America","Bachelor’s degree","Mathematics or statistics","Student","I am a student","3-4",NA,NA,"ML","No (we do not use ML methods)"
"44",15524,"Male","25-29","Brazil","Doctoral degree","Physics or astronomy","Research Scientist","Academics/Education","1-2",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"45",15582,"Female","22-24","India","Master’s degree","Mathematics or statistics","Not employed",NA,NA,"Definitely not",NA,"ML",NA
"46",15646,"Female","22-24","United States of America","Master’s degree","Mathematics or statistics","Student","I am a student",NA,NA,NA,"ML","No (we do not use ML methods)"
"47",15651,"Male","22-24","United States of America","Master’s degree","Engineering (non-computer focused)","Data Scientist","I am a student","0-1",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"48",15674,"Male","22-24","India","I prefer not to answer","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,"ML","No (we do not use ML methods)"
"49",15771,"Female","22-24","United States of America","Bachelor’s degree","Mathematics or statistics","Research Scientist","Military/Security/Defense","0-1",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"50",15807,"Male","22-24","China","Master’s degree","Mathematics or statistics","Student","Computers/Technology","1-2",NA,NA,"ML","No (we do not use ML methods)"
"51",16027,"Female","25-29","I do not wish to disclose my location","Master’s degree","Mathematics or statistics","Student","I am a student","1-2",NA,NA,"ML","We use ML methods for generating insights (but do not put working models into production)"
"52",16128,"Male","22-24","India","Some college/university study without earning a bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","3-4",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"53",16307,"Male","25-29","United States of America","Master’s degree","Engineering (non-computer focused)","Software Engineer","Online Service/Internet-based Services","3-4",NA,NA,"ML","No (we do not use ML methods)"
"54",16526,"Male","25-29","China","Bachelor’s degree","Physics or astronomy","Research Scientist","I am a student","2-3",NA,NA,"ML","No (we do not use ML methods)"
"55",16572,"Male","22-24","Japan","I prefer not to answer","Physics or astronomy","Student","I am a student","4-5",NA,NA,"ML","We use ML methods for generating insights (but do not put working models into production)"
"56",16585,"Male","22-24","United States of America","Master’s degree","Engineering (non-computer focused)",NA,"Military/Security/Defense","2-3",NA,NA,"ML","We use ML methods for generating insights (but do not put working models into production)"
"57",16610,"Prefer not to say","22-24","India","I prefer not to answer","Engineering (non-computer focused)","Not employed",NA,NA,NA,NA,"ML",NA
"58",16649,"Female","25-29","India","Master’s degree","Engineering (non-computer focused)","Consultant","Computers/Technology","5-10",NA,NA,"ML","We use ML methods for generating insights (but do not put working models into production)"
"59",16678,"Male","18-21","South Korea","Some college/university study without earning a bachelor’s degree","Mathematics or statistics","Student","I am a student","0-1",NA,NA,"ML","No (we do not use ML methods)"
"60",16685,"Male","25-29","Indonesia","Master’s degree","Engineering (non-computer focused)","Software Engineer","Retail/Sales","0-1",NA,NA,"ML","No (we do not use ML methods)"
"61",16738,"Male","22-24","China","Master’s degree",NA,"Student","I am a student","1-2",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"62",16749,"Male","35-39","Israel","Master’s degree","Engineering (non-computer focused)","Product/Project Manager","Government/Public Service","10-15",NA,NA,"ML","No (we do not use ML methods)"
"63",16766,"Prefer not to say","18-21","Mexico","Some college/university study without earning a bachelor’s degree","Mathematics or statistics","Student","I am a student","2-3",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"64",16793,"Male","18-21","United States of America","Some college/university study without earning a bachelor’s degree","Engineering (non-computer focused)","Student","Computers/Technology","0-1",NA,NA,"ML","No (we do not use ML methods)"
"65",17031,"Female","25-29","United States of America","Master’s degree","Mathematics or statistics","Data Scientist","Marketing/CRM","0-1",NA,NA,"ML","We use ML methods for generating insights (but do not put working models into production)"
"66",17068,"Male","22-24","Colombia","Some college/university study without earning a bachelor’s degree","Engineering (non-computer focused)","Software Engineer","I am a student","1-2","Probably not",NA,"ML","No (we do not use ML methods)"
"67",17131,"Female","25-29","United States of America","Master’s degree","Mathematics or statistics","Student","Insurance/Risk Assessment","2-3",NA,NA,"ML","No (we do not use ML methods)"
"68",17171,"Male","30-34","Spain","Doctoral degree","Physics or astronomy","Research Scientist","Academics/Education","0-1",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"69",17310,"Male","25-29","United States of America","Doctoral degree","Mathematics or statistics","Not employed",NA,NA,"Probably yes",NA,"ML",NA
"70",17344,"Male","30-34","I do not wish to disclose my location","Master’s degree","Engineering (non-computer focused)","Research Assistant","Academics/Education","2-3",NA,NA,"ML","No (we do not use ML methods)"
"71",17359,"Male","22-24","United States of America","Some college/university study without earning a bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","2-3",NA,NA,"ML","We use ML methods for generating insights (but do not put working models into production)"
"72",17372,"Male","22-24","India","Bachelor’s degree","Engineering (non-computer focused)","Data Analyst","Computers/Technology","3-4",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"73",17387,"Male","30-34","United States of America","Master’s degree","Mathematics or statistics","Data Analyst","Computers/Technology","1-2",NA,NA,"ML","No (we do not use ML methods)"
"74",17480,"Male","18-21","India","No formal education past high school",NA,"Student","I am a student","1-2",NA,NA,"ML","No (we do not use ML methods)"
"75",17541,"Female","30-34","United States of America","Bachelor’s degree","Engineering (non-computer focused)",NA,NA,"5-10",NA,NA,"ML","No (we do not use ML methods)"
"76",17570,"Male","22-24","China","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","1-2",NA,NA,"ML","We use ML methods for generating insights (but do not put working models into production)"
"77",17636,"Male","22-24","United States of America","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","1-2",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"78",17699,"Male","22-24","China","Some college/university study without earning a bachelor’s degree","Engineering (non-computer focused)","Student","Computers/Technology","1-2",NA,NA,"ML","We use ML methods for generating insights (but do not put working models into production)"
"79",17707,"Male","22-24","United States of America","Doctoral degree","Engineering (non-computer focused)","Student","Academics/Education","4-5",NA,NA,"ML","No (we do not use ML methods)"
"80",17718,"Female","55-59","United States of America","Bachelor’s degree","Engineering (non-computer focused)",NA,"Computers/Technology","2-3",NA,NA,"ML","No (we do not use ML methods)"
"81",17812,"Female","18-21","India","Bachelor’s degree",NA,"Data Analyst","Accounting/Finance",NA,"Definitely not",NA,"ML","I do not know"
"82",17832,"Male","25-29","India","Master’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"83",18026,"Male","18-21","Mexico","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","1-2","Maybe",NA,"ML","No (we do not use ML methods)"
"84",18092,"Male","30-34","United States of America","Master’s degree","Engineering (non-computer focused)","Data Engineer","Academics/Education","5-10","Probably not",NA,"ML","No (we do not use ML methods)"
"85",18114,"Male","25-29","Nigeria","No formal education past high school",NA,"Student","I am a student","0-1",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"86",18210,"Male","22-24","United States of America","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","2-3",NA,NA,"ML","No (we do not use ML methods)"
"87",18244,"Male","35-39","United States of America","Master’s degree","Engineering (non-computer focused)","Data Engineer","Computers/Technology","5-10",NA,NA,"ML","We use ML methods for generating insights (but do not put working models into production)"
"88",18245,"Male","30-34","Canada","Master’s degree","Environmental science or geology","Student","Energy/Mining","4-5",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"89",18281,"Male","22-24","India","Master’s degree","Engineering (non-computer focused)","Software Engineer","Computers/Technology","1-2",NA,NA,"ML","No (we do not use ML methods)"
"90",18294,"Female","22-24","Brazil","Master’s degree","Mathematics or statistics","Not employed",NA,NA,"Definitely not",NA,"ML",NA
"91",18297,"Male","22-24","United States of America","Master’s degree","Engineering (non-computer focused)","Student","Manufacturing/Fabrication","3-4",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"92",18391,"Male","22-24","United States of America","Master’s degree","Engineering (non-computer focused)","Student","I am a student","1-2",NA,NA,"ML","We use ML methods for generating insights (but do not put working models into production)"
"93",18401,"Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,"ML","No (we do not use ML methods)"
"94",18407,"Male","22-24","India","Bachelor’s degree","Engineering (non-computer focused)","Business Analyst","Computers/Technology","0-1",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"95",18412,"Male","35-39","China","Master’s degree","Engineering (non-computer focused)","Data Scientist","Academics/Education","3-4",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"96",18482,"Male","25-29","China","Master’s degree",NA,"Student","I am a student","4-5","Probably yes",NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"97",18536,"Male","22-24","United States of America","Master’s degree","Engineering (non-computer focused)","Student","Accounting/Finance","1-2",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"98",18611,"Male","22-24","United States of America","Master’s degree","Engineering (non-computer focused)","Data Scientist","Medical/Pharmaceutical","0-1",NA,NA,"ML","We use ML methods for generating insights (but do not put working models into production)"
"99",18662,"Male","40-44","Portugal","Doctoral degree","Engineering (non-computer focused)","Student","I am a student","1-2",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"100",18703,"Male","25-29","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"101",18714,"Female","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Software Engineer","Marketing/CRM","0-1",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"102",18768,"Male","18-21","Ukraine","No formal education past high school",NA,"Student","I am a student","0-1",NA,NA,"ML","I do not know"
"103",18854,"Prefer not to say","25-29","Russia","Doctoral degree","Mathematics or statistics","Not employed",NA,NA,"Maybe",NA,"ML",NA
"104",18904,"Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Marketing Analyst","I am a student","10-15",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"105",18992,"Prefer not to say","30-34","I do not wish to disclose my location","Master’s degree","Engineering (non-computer focused)","Research Assistant","Computers/Technology","4-5",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"106",19026,"Female","18-21","China","No formal education past high school",NA,"Student","I am a student","1-2",NA,NA,"ML","No (we do not use ML methods)"
"107",19037,"Male","18-21","Denmark","Some college/university study without earning a bachelor’s degree","Physics or astronomy","Student","I am a student","5-10",NA,NA,"ML","No (we do not use ML methods)"
"108",19049,"Male","30-34","India","I prefer not to answer","Engineering (non-computer focused)","Software Engineer","Computers/Technology","5-10","Definitely yes",NA,"ML","No (we do not use ML methods)"
"109",19052,"Male","25-29","India","Bachelor’s degree","Physics or astronomy",NA,"Academics/Education","3-4","Maybe",NA,"ML","No (we do not use ML methods)"
"110",19201,"Male","35-39","Japan","Doctoral degree","Mathematics or statistics","Research Scientist","Computers/Technology","4-5","Definitely not",NA,"ML","We use ML methods for generating insights (but do not put working models into production)"
"111",19240,"Prefer not to say","22-24","Republic of Korea","Master’s degree","Mathematics or statistics","Student","I am a student","0-1",NA,NA,"ML","We use ML methods for generating insights (but do not put working models into production)"
"112",19254,"Female","22-24","India","Master’s degree","Mathematics or statistics","Student","I am a student","0-1",NA,NA,"ML","No (we do not use ML methods)"
"113",19475,"Male","25-29","France","Master’s degree","Engineering (non-computer focused)",NA,NA,"5-10",NA,NA,"ML","No (we do not use ML methods)"
"114",19484,"Female","22-24","Israel","Master’s degree","Mathematics or statistics","Software Engineer","Computers/Technology","0-1",NA,NA,"ML","No (we do not use ML methods)"
"115",19513,"Female","30-34","Netherlands","Master’s degree","Engineering (non-computer focused)","Product/Project Manager","Online Service/Internet-based Services","5-10",NA,NA,"ML","No (we do not use ML methods)"
"116",19541,"Male","25-29",NA,"Master’s degree","Mathematics or statistics","Student","I am a student","0-1",NA,NA,"ML","No (we do not use ML methods)"
"117",19585,"Male","35-39","Spain","Master’s degree","Engineering (non-computer focused)","Data Scientist","Computers/Technology","0-1",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"118",19686,"Male","22-24","India","Bachelor’s degree","Engineering (non-computer focused)","Software Engineer","Computers/Technology","1-2",NA,NA,"ML","No (we do not use ML methods)"
"119",19759,"Male","25-29","Germany","Master’s degree","Engineering (non-computer focused)","Student","Computers/Technology","1-2","Probably yes",NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"120",19882,"Male","22-24","France","Master’s degree","Mathematics or statistics","Data Scientist","Computers/Technology","0-1",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"121",19924,"Male","45-49","Australia","Professional degree",NA,NA,"Manufacturing/Fabrication","20-25",NA,NA,"ML","No (we do not use ML methods)"
"122",20288,"Female","30-34","Australia","Master’s degree","Mathematics or statistics",NA,"Insurance/Risk Assessment","5-10",NA,NA,"ML","We use ML methods for generating insights (but do not put working models into production)"
"123",20424,"Male","22-24",NA,"Bachelor’s degree","Environmental science or geology","Data Scientist","Academics/Education","1-2",NA,NA,"ML","No (we do not use ML methods)"
"124",20425,"Male","18-21","Kenya","Bachelor’s degree","Mathematics or statistics","Data Analyst","Insurance/Risk Assessment","0-1",NA,NA,"ML","No (we do not use ML methods)"
"125",20435,"Male","25-29","Germany","Master’s degree","Engineering (non-computer focused)","Student","Academics/Education","3-4",NA,NA,"ML","No (we do not use ML methods)"
"126",20477,"Male","25-29","Israel","No formal education past high school",NA,"Software Engineer","Online Business/Internet-based Sales","10-15",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"127",20486,"Male","22-24","Pakistan","Bachelor’s degree",NA,"Student","I am a student",NA,NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"128",20545,"Male","18-21","Viet Nam","Some college/university study without earning a bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"129",20691,"Male","35-39","Finland","Doctoral degree","Mathematics or statistics","Consultant","Computers/Technology","0-1",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"130",20695,"Male","22-24","China","Master’s degree","Engineering (non-computer focused)","Student","Academics/Education","1-2",NA,NA,"ML","We use ML methods for generating insights (but do not put working models into production)"
"131",20791,"Male","22-24","China","Master’s degree","Engineering (non-computer focused)","Student","I am a student","1-2",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"132",20925,"Male","35-39","India","Master’s degree","Engineering (non-computer focused)","Data Analyst","Energy/Mining","10-15",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"133",20985,"Female","30-34","India","Professional degree","Engineering (non-computer focused)","Software Engineer","Online Service/Internet-based Services","5-10",NA,NA,"ML","No (we do not use ML methods)"
"134",20987,"Female","25-29","Greece","Master’s degree","Environmental science or geology","Student","I am a student","4-5",NA,NA,"ML","We use ML methods for generating insights (but do not put working models into production)"
"135",21010,"Female","25-29","India","Master’s degree","Engineering (non-computer focused)","Software Engineer","Insurance/Risk Assessment","2-3",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"136",21033,"Male","30-34","United Kingdom of Great Britain and Northern Ireland","Bachelor’s degree",NA,NA,"Online Business/Internet-based Sales","4-5",NA,NA,"ML","No (we do not use ML methods)"
"137",21067,"Male","25-29","India","Bachelor’s degree","Engineering (non-computer focused)","Data Analyst","Computers/Technology","1-2",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"138",21082,"Male","25-29","Belarus","Doctoral degree","Mathematics or statistics","Research Scientist","Academics/Education","0-1",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"139",21180,"Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student",NA,NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"140",21440,"Male","22-24","India","Bachelor’s degree",NA,"Student","I am a student","0-1",NA,NA,"ML","No (we do not use ML methods)"
"141",21484,"Male","22-24","India","Bachelor’s degree","Engineering (non-computer focused)","Data Scientist","I am a student","0-1",NA,NA,"ML","No (we do not use ML methods)"
"142",21528,"Male","22-24","India","Bachelor’s degree","Engineering (non-computer focused)","Software Engineer","I am a student","0-1",NA,NA,"ML","No (we do not use ML methods)"
"143",21605,"Male","22-24","France","Master’s degree","Mathematics or statistics","Student","I am a student",NA,NA,NA,"ML","No (we do not use ML methods)"
"144",21755,"Male","45-49","France","Doctoral degree","Physics or astronomy","Research Scientist","Academics/Education","10-15","Maybe",NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"145",21887,"Male","45-49","Australia","Bachelor’s degree","Engineering (non-computer focused)","Consultant","Energy/Mining","4-5",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"146",22065,"Male","30-34","Australia","Master’s degree","Engineering (non-computer focused)","Data Analyst",NA,"3-4",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"147",22272,"Female","30-34","Ukraine","I prefer not to answer","Engineering (non-computer focused)","Software Engineer","Marketing/CRM","5-10","Definitely yes",NA,"ML","No (we do not use ML methods)"
"148",22307,"Female","40-44","Japan","Some college/university study without earning a bachelor’s degree","Mathematics or statistics","Consultant","Non-profit/Service","10-15",NA,NA,"ML","No (we do not use ML methods)"
"149",22338,"Male","30-34","Germany","Master’s degree","Mathematics or statistics","Data Scientist","I am a student","2-3",NA,NA,"ML","We use ML methods for generating insights (but do not put working models into production)"
"150",22463,"Female","22-24","India","Master’s degree","Mathematics or statistics",NA,"Academics/Education","0-1",NA,NA,"ML","No (we do not use ML methods)"
"151",22512,"Male","18-21","Germany","Bachelor’s degree","Mathematics or statistics","Student","I am a student","0-1",NA,NA,"ML","No (we do not use ML methods)"
"152",22620,"Female","22-24","South Africa","Bachelor’s degree","Mathematics or statistics","Data Analyst","Academics/Education","0-1",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"153",22654,"Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","1-2",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"154",22831,"Male","18-21","Poland","Some college/university study without earning a bachelor’s degree","Mathematics or statistics","Student","I am a student","0-1",NA,NA,"ML","No (we do not use ML methods)"
"155",22957,"Male","22-24","Kenya","Bachelor’s degree","Mathematics or statistics","Student","I am a student","0-1",NA,NA,"ML","No (we do not use ML methods)"
"156",23047,"Male","30-34","France","Master’s degree","Engineering (non-computer focused)","Product/Project Manager","Manufacturing/Fabrication","5-10",NA,NA,"ML","No (we do not use ML methods)"
"157",23128,"Male","18-21",NA,"No formal education past high school",NA,"Student","Online Service/Internet-based Services","0-1",NA,NA,"ML","No (we do not use ML methods)"
"158",23146,"Male","25-29","Germany","Doctoral degree","Mathematics or statistics","Research Assistant","Academics/Education","3-4","Definitely yes",NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"159",23255,"Male","25-29","Germany","Master’s degree","Mathematics or statistics","Consultant",NA,"1-2",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"160",23273,"Male","18-21","Russia","Bachelor’s degree","Mathematics or statistics","Data Scientist","I am a student","2-3","Definitely yes",NA,"ML","I do not know"
"161",23278,"Male","22-24","Russia","I prefer not to answer","Mathematics or statistics","Student","Online Service/Internet-based Services","5-10","Definitely yes",NA,"ML","I do not know"
"162",23413,"Male","30-34","Russia","No formal education past high school",NA,"Business Analyst","Accounting/Finance","3-4","Maybe",NA,"ML","I do not know"
"163",23450,"Male","25-29","Germany","Master’s degree","Engineering (non-computer focused)","Data Scientist","Computers/Technology","1-2","Definitely yes",NA,"ML","I do not know"
"164",23493,"Male","35-39","I do not wish to disclose my location","Master’s degree","Engineering (non-computer focused)","Product/Project Manager","Manufacturing/Fabrication","10-15",NA,NA,"ML","No (we do not use ML methods)"
"165",23517,"Male","22-24","India","Master’s degree","Engineering (non-computer focused)","Student","I am a student","0-1",NA,NA,"ML","We use ML methods for generating insights (but do not put working models into production)"
"166",23535,"Male","25-29","United Kingdom of Great Britain and Northern Ireland","Bachelor’s degree","Mathematics or statistics",NA,"Insurance/Risk Assessment","5-10",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"167",23556,"Male","45-49","United Kingdom of Great Britain and Northern Ireland","Some college/university study without earning a bachelor’s degree","Environmental science or geology","Marketing Analyst","Online Service/Internet-based Services","0-1",NA,NA,"ML","No (we do not use ML methods)"
"168",23615,"Male","40-44","United Kingdom of Great Britain and Northern Ireland","Bachelor’s degree","Engineering (non-computer focused)","Chief Officer","Computers/Technology","5-10",NA,NA,"ML","No (we do not use ML methods)"
"169",23645,"Male","18-21","France","Master’s degree","Mathematics or statistics","Student","I am a student","0-1",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
"170",23658,"Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","1-2",NA,NA,"ML","No (we do not use ML methods)"
"171",23749,"Male","22-24","Turkey","Master’s degree","Engineering (non-computer focused)","Research Assistant","I am a student","0-1",NA,NA,"ML","We are exploring ML methods (and may one day put a model into production)"
